N	2gram	Voloshinov_2	Freidism
1	таким образом	14	24
2	и не	19	23
3	– это	4	21
4	не может	18	20
5	точки зрения	17	19
6	прежде всего	7	18
7	и пр	25	15
8	в этом	15	15
9	в его	5	15
10	это –	9	14
11	с помощью	6	14
12	в душе	4	13
13	мы можем	6	13
14	может быть	28	13
15	и его	16	12
16	– в	4	11
17	как и	9	11
18	как бы	19	11
19	то что	4	11
20	все эти	3	11
21	с точки	13	11
22	и потому	2	10
23	так и	10	10
24	как мы	15	10
25	самом деле	9	10
26	его в	7	10
27	но в	7	10
28	с его	8	9
29	и в	19	9
30	во всех	6	9
31	по отношению	8	9
32	что он	4	8
33	отношению к	8	8
34	еще не	3	8
35	в своей	3	8
36	он не	3	8
37	не только	13	8
38	то же	16	8
39	только в	8	8
40	и все	6	8
41	так как	3	8
42	мы знаем	2	7
43	ни в	6	7
44	к нему	5	7
45	во всяком	3	7
46	мы видели	4	7
47	в самом	6	7
48	– не	6	7
49	сказать что	4	7
50	мы уже	6	7
51	всяком случае	2	7
52	– как	5	6
53	никогда не	7	6
54	точку зрения	2	6
55	вовсе не	11	6
56	и ее	4	6
57	для него	9	6
58	за пределы	3	6
59	того что	4	6
60	в ней	3	6
61	все те	4	6
62	так сказать	14	6
63	совершенно не	5	6
64	хотя бы	6	6
65	и с	2	6
66	на протяжении	2	6
67	связь с	4	5
68	в свою	6	5
69	не в	10	5
70	в этой	3	5
71	в то	8	5
72	в большинстве	5	5
73	что в	2	5
74	но и	10	5
75	и прежде	2	5
76	на самом	7	5
77	для того	6	5
78	а в	3	5
79	и на	5	5
80	могут быть	3	5
81	с этим	3	5
82	в каком	3	5
83	большинстве случаев	5	5
84	– с	3	4
85	но не	2	4
86	в следующей	2	4
87	в котором	3	4
88	сознания и	3	4
89	в этих	3	4
90	то ни	5	4
91	в пределах	10	4
92	в жизни	2	4
93	если мы	6	4
94	в собственном	2	4
95	с другими	3	4
96	к тому	6	4
97	сводится к	2	4
98	же время	8	4
99	которой мы	2	4
100	– и	5	4
101	смысле слова	5	4
102	при этом	9	4
103	другими словами	2	4
104	конечно не	4	4
105	и о	2	4
106	как раз	4	4
107	в основе	9	4
108	в зависимости	2	4
109	в нем	11	4
110	все же	5	4
111	не было	3	4
112	между ними	2	4
113	того чтобы	6	4
114	с самого	5	4
115	и для	7	4
116	той же	3	4
117	мы не	2	4
118	в таком	7	4
119	с ними	4	4
120	в данном	5	4
121	в более	2	4
122	зависимости от	2	4
123	самого начала	5	3
124	если бы	11	3
125	внутренней и	2	3
126	тому что	4	3
127	и от	3	3
128	конечно в	3	3
129	в себе	4	3
130	он был	2	3
131	теперь мы	2	3
132	и как	6	3
133	выражение и	2	3
134	учение о	3	3
135	в узком	2	3
136	было бы	4	3
137	бы он	3	3
138	узком смысле	2	3
139	себя в	2	3
140	бы то	4	3
141	жизни и	2	3
142	вместе с	2	3
143	собственном смысле	2	3
144	приводит к	2	3
145	всем этим	2	3
146	не знает	2	3
147	мысли и	3	3
148	свою очередь	5	3
149	и т.п	10	3
150	следующей главе	2	3
151	можем сказать	2	3
152	уже знаем	2	3
153	у него	2	3
154	может стать	2	3
155	но ведь	3	3
156	и внешней	2	3
157	слова и	6	3
158	таком случае	3	3
159	одна из	7	3
160	подхода к	3	3
161	не является	8	3
162	в отношении	4	2
163	уже в	2	2
164	– к	2	2
165	что это	2	2
166	быть и	6	2
167	в нашем	2	2
168	его и	3	2
169	для себя	4	2
170	в какой	3	2
171	того же	5	2
172	с другой	3	2
173	это не	4	2
174	формы и	2	2
175	социальных взаимоотношений	2	2
176	к этому	5	2
177	для понимания	3	2
178	же самое	6	2
179	– говорит	2	2
180	для всего	3	2
181	в ее	3	2
182	до конца	2	2
183	да и	3	2
184	влияние на	4	2
185	ни было	6	2
186	в основном	4	2
187	том что	10	2
188	слово –	5	2
189	более того	6	2
190	высшей степени	3	2
191	из всего	2	2
192	на этой	5	2
193	во внутренней	2	2
194	не существует	3	2
195	а не	9	2
196	связано с	3	2
197	из важнейших	2	2
198	одной стороны	3	2
199	вполне понятно	4	2
200	но для	2	2
201	в процессе	18	2
202	относится к	3	2
203	в своем	2	2
204	со всею	3	2
205	на почве	9	2
206	и до	3	2
207	ответ на	2	2
208	каждого человека	2	2
209	выражение в	5	2
210	сих пор	3	2
211	той социальной	2	2
212	в их	5	2
213	только на	4	2
214	критика теории	2	2
215	отношения к	2	2
216	а с	2	2
217	с одной	3	2
218	что оно	3	2
219	внутренней речи	7	2
220	социальной группы	6	2
221	и являются	2	2
222	в отличие	3	2
223	речи мы	6	2
224	должны быть	2	2
225	и у	2	2
226	в высшей	3	2
227	тем же	4	2
228	и даже	2	2
229	так же	5	2
230	как на	2	2
231	рядом с	2	2
232	отличие от	3	2
233	социального общения	3	2
234	на основе	3	2
235	опирается на	2	2
236	и то	3	2
237	высказывания –	5	2
238	здесь в	2	2
239	от этого	2	2
240	себя с	2	2
241	чем же	3	2
242	они не	2	2
243	что и	3	2
244	– в.в	2	2
245	к его	2	2
246	но как	2	2
247	в другом	3	2
248	речи и	13	2
249	все то	2	2
250	до сих	3	2
251	– мы	2	2
252	только с	2	2
253	оно может	3	2
254	это было	2	2
255	содержания сознания	2	2
