N	2gram	Vygotskiy__6	Analitik
1	в качестве	4	31
2	может быть	13	29
3	в том	28	27
4	не может	19	22
5	и не	11	21
6	в частности	4	19
7	и в	28	18
8	а не	3	17
9	но и	10	17
10	представляет собой	3	16
11	не только	16	15
12	не в	4	14
13	как и	6	13
14	в его	3	13
15	в этом	27	13
16	том что	19	12
17	при этом	3	12
18	состоит в	2	11
19	в себе	4	11
20	но не	10	10
21	то же	7	9
22	а в	2	9
23	иначе говоря	3	9
24	в то	6	9
25	в той	4	8
26	нуждается в	3	8
27	но в	5	8
28	к тому	10	7
29	этого слова	2	7
30	тем самым	8	7
31	это не	5	6
32	прежде всего	2	6
33	в самом	8	6
34	в сущности	7	6
35	в случае	3	6
36	то что	28	6
37	в своей	2	6
38	в себя	3	6
39	по отношению	10	6
40	в основе	3	6
41	точки зрения	13	6
42	по своей	3	6
43	только в	18	6
44	мы имеем	4	6
45	и того	4	5
46	и как	6	5
47	в этой	5	5
48	что в	17	5
49	имеет место	2	5
50	как бы	11	5
51	отношению к	10	5
52	в целом	3	5
53	в их	3	5
54	и его	3	5
55	и на	5	5
56	на вопрос	2	4
57	того что	24	4
58	и более	2	4
59	могут быть	5	4
60	с другой	2	4
61	по себе	3	4
62	того же	7	4
63	имеем дело	2	4
64	для того	8	4
65	в области	6	4
66	не с	2	4
67	все же	2	4
68	вместе с	7	4
69	так и	6	4
70	дело с	2	4
71	именно в	4	4
72	из того	5	4
73	с точки	10	4
74	с другими	2	4
75	в другом	2	4
76	с ним	2	4
77	не могут	5	3
78	с его	3	3
79	в нашем	4	3
80	и все	5	3
81	в любом	2	3
82	в нем	7	3
83	и к	6	3
84	в ходе	3	3
85	что он	18	3
86	всякий раз	3	3
87	в силу	17	3
88	как известно	7	3
89	еще не	8	3
90	означает что	2	3
91	к объекту	14	3
92	одним из	2	3
93	он не	7	3
94	в котором	2	3
95	что и	4	3
96	это означает	3	3
97	таким образом	18	3
98	того чтобы	10	3
99	между двумя	2	3
100	более того	2	3
101	что мы	11	3
102	если бы	7	3
103	и то	4	2
104	не являются	2	2
105	только не	3	2
106	на фоне	3	2
107	никогда не	8	2
108	все эти	2	2
109	между собой	9	2
110	для этого	2	2
111	первом случае	3	2
112	из этих	3	2
113	тогда когда	6	2
114	была бы	2	2
115	вопрос о	5	2
116	что именно	2	2
117	можно сказать	6	2
118	могут оказаться	2	2
119	то в	5	2
120	не решает	2	2
121	отношение к	7	2
122	для него	6	2
123	в пределах	5	2
124	было бы	9	2
125	несмотря на	2	2
126	на его	3	2
127	в ряду	2	2
128	совпадает с	4	2
129	и является	2	2
130	еще в	2	2
131	к предмету	6	2
132	один из	3	2
133	представляют собой	3	2
134	он может	2	2
135	из них	2	2
136	в процессе	9	2
137	для данного	3	2
138	другой стороны	2	2
139	отличается от	3	2
140	на примере	3	2
141	на этом	4	2
142	отношения к	3	2
143	той же	4	2
144	этом отношении	3	2
145	самом деле	2	2
146	и по	3	2
147	как мы	10	2
148	на основе	4	2
149	в данном	2	2
150	одного и	4	2
151	же самое	6	2
152	могли бы	9	2
153	и составляет	3	2
154	в первом	4	2
155	которые в	4	2
156	так как	10	2
157	потому что	22	2
158	в которой	7	2
159	в сознании	4	2
160	в новом	2	2
