N	2gram	Nazirov_Tv_1	Russkaja
1	не может	4	22
2	и не	7	19
3	в том	7	17
4	в этом	6	17
5	и в	21	14
6	то что	8	13
7	самим собой	4	12
8	таким образом	5	11
9	то же	13	11
10	же время	12	10
11	но и	3	10
12	в то	15	10
13	том что	11	9
14	не только	7	9
15	в себе	2	9
16	может быть	5	9
17	прежде всего	4	8
18	отнюдь не	5	7
19	стремление к	2	7
20	к тому	2	7
21	не будет	2	7
22	самом деле	2	7
23	в данном	2	7
24	о том	6	7
25	и с	3	7
26	на самом	3	6
27	что он	6	6
28	для него	6	6
29	если в	2	6
30	все это	10	6
31	в своем	4	6
32	в своих	5	6
33	в россии	3	6
34	жизни в	6	5
35	хотя бы	5	5
36	и на	7	5
37	при этом	7	5
38	в своей	4	5
39	он не	8	5
40	никогда не	3	5
41	в нем	3	5
42	а в	6	5
43	потому что	5	5
44	во имя	2	5
45	только в	5	5
46	но не	3	4
47	что в	12	4
48	в мире	4	4
49	как и	12	4
50	как бы	17	4
51	все же	5	4
52	жизни и	3	4
53	вместе с	2	4
54	в их	3	4
55	приводит к	2	4
56	на земле	3	4
57	не в	2	4
58	отказаться от	2	4
59	в этой	5	4
60	в его	13	4
61	так как	3	4
62	он сам	6	3
63	может не	2	3
64	на том	2	3
65	именно в	2	3
66	что все	3	3
67	и как	4	3
68	то в	2	3
69	в качестве	2	3
70	ибо в	2	3
71	в самом	3	3
72	одной из	4	3
73	но если	3	3
74	что и	2	3
75	и т	3	3
76	из них	2	3
77	данном случае	2	3
78	вряд ли	2	3
79	того что	3	3
80	и по	3	3
81	что для	2	3
82	или в	2	3
83	приходит к	3	3
84	в виде	3	3
85	о котором	2	3
86	одна из	2	3
87	место в	3	2
88	зависит от	2	2
89	в частности	2	2
90	у него	7	2
91	и от	4	2
92	точно так	2	2
93	стремления к	2	2
94	это в	3	2
95	во главе	2	2
96	уже не	3	2
97	так что	2	2
98	из всех	4	2
99	но это	5	2
100	настоящее время	2	2
101	за то	2	2
102	по самому	2	2
103	в ней	2	2
104	в котором	6	2
105	и тем	2	2
106	время в	3	2
107	но она	2	2
108	ее в	3	2
109	в россию	2	2
110	только на	2	2
111	тем самым	7	2
112	а не	5	2
113	и наконец	2	2
114	и даже	3	2
115	не так	3	2
116	так же	3	2
117	людей и	2	2
118	больше чем	2	2
119	и человек	2	2
120	на эту	4	2
121	как будто	5	2
122	в этих	2	2
123	с ним	3	2
124	себя как	2	2
125	но в	7	2
