N	3gram	Bakhtin_sl_2	Problemy
1	с точки зрения	3	9
2	в большинстве случаев	5	8
3	до сих пор	2	8
4	не может быть	15	8
5	в пределах одного	7	6
6	то же время	4	5
7	к чужому слову	2	5
8	в то же	4	5
9	по отношению к	4	5
10	более или менее	2	3
11	как мы сказали	2	3
12	в отличие от	12	3
13	с чужим словом	10	3
14	чужого слова и	3	3
15	чужого слова в	5	3
16	то есть от	2	2
17	той или иной	5	2
18	в узком смысле	4	2
19	чужим словом и	4	2
20	но в то	3	2
21	сама по себе	3	2
22	во всех его	2	2
23	как мы уже	2	2
24	и в сущности	2	2
25	в отношении к	4	2
26	сих пор не	2	2
27	в том что	4	2
