N	2gram	Nazirov_Tr_1	Myslijsy
1	потому что	2	49
2	то есть	3	30
3	и в	18	24
4	в душе	2	23
5	может быть	7	23
6	то что	4	20
7	и не	7	19
8	в том	2	18
9	что в	4	16
10	не только	8	15
11	при этом	3	13
12	не в	2	13
13	не может	5	12
14	то же	5	12
15	что и	2	11
16	для него	3	10
17	в себе	4	10
18	так что	2	10
19	как в	3	10
20	точно так	2	9
21	в нем	4	9
22	как бы	7	9
23	но и	4	9
24	то и	2	9
25	под влиянием	2	8
26	том что	4	8
27	и на	7	8
28	в этом	9	8
29	не могут	2	7
30	прежде всего	4	7
31	как и	5	7
32	тем что	2	7
33	в одном	2	6
34	и как	3	6
35	по поводу	2	6
36	не имеет	2	6
37	в то	5	6
38	уже в	3	5
39	столь же	2	5
40	с ним	3	5
41	если б	2	5
42	о том	2	5
43	так и	5	5
44	все же	5	5
45	никогда не	2	4
46	что он	6	4
47	уже не	2	4
48	одна из	2	4
49	еще не	4	4
50	в самом	2	4
51	и что	4	4
52	тем самым	3	4
53	в таком	2	4
54	одном из	2	4
55	с тем	2	4
56	но в	6	4
57	что это	5	3
58	это не	5	3
59	и все	4	3
60	но это	4	3
61	мог бы	3	3
62	его в	2	3
63	в целом	4	3
64	что она	2	3
65	не так	2	3
66	вряд ли	2	3
67	и то	2	3
68	и его	6	2
69	и это	2	2
70	что все	2	2
71	вопрос о	2	2
72	с его	2	2
73	вместе со	2	2
74	но все	2	2
75	с первого	2	2
76	все эти	3	2
77	так же	4	2
78	у него	6	2
79	же время	6	2
80	что с	3	2
81	было в	2	2
82	в его	3	2
83	один из	3	2
84	боли и	2	2
85	все это	4	2
86	что за	3	2
87	должно быть	3	2
88	друг друга	2	2
89	как это	3	2
90	и здесь	2	2
91	ничем не	2	2
