N	2gram	Tiupa_Hudo_1	VeschiIm
1	не может	7	33
2	не только	16	31
3	может быть	14	29
4	и не	15	28
5	и в	19	26
6	то что	4	24
7	а не	9	20
8	в имени	2	15
9	что она	2	14
10	только в	5	14
11	и что	3	13
12	того что	4	13
13	по себе	2	13
14	но и	10	12
15	сказать что	4	12
16	в себя	2	12
17	и то	4	12
18	и ее	3	12
19	таким образом	3	11
20	то же	10	10
21	уже не	4	10
22	как бы	9	10
23	и больше	2	10
24	потому что	3	10
25	в том	18	9
26	в самом	5	9
27	прежде всего	4	9
28	себя и	2	8
29	с ее	5	8
30	в себе	9	8
31	и это	2	8
32	говорить о	3	7
33	в то	6	7
34	его в	2	7
35	том что	8	7
36	себя в	7	7
37	не будет	2	7
38	как раз	3	7
39	с другими	4	7
40	в этом	11	7
41	и как	3	6
42	что в	6	6
43	для него	4	6
44	со стороны	2	6
45	отличается от	2	6
46	точки зрения	10	6
47	но в	7	6
48	одно и	3	6
49	если мы	2	6
50	с ним	2	6
51	не менее	3	5
52	в отношении	3	5
53	это не	2	5
54	тем не	3	5
55	не в	7	5
56	свою очередь	2	5
57	еще не	3	5
58	а в	12	5
59	как к	2	5
60	если бы	3	5
61	отнюдь не	2	5
62	в свою	3	5
63	в ее	5	5
64	одна из	2	5
65	но не	11	5
66	того же	2	5
67	для себя	2	5
68	и для	2	5
69	в чем	2	5
70	я не	2	4
71	в своем	2	4
72	с другой	7	4
73	же время	5	4
74	в их	5	4
75	о том	2	4
76	и более	2	4
77	как и	2	4
78	во всех	3	4
79	не предполагает	3	4
80	и о	3	4
81	и потому	2	4
82	на почве	3	4
83	что и	2	4
84	быть и	2	4
85	собственно говоря	2	4
86	между ними	4	4
87	с точки	3	4
88	в данном	4	4
89	определенным образом	2	4
90	есть как	2	3
91	сама по	2	3
92	никогда не	2	3
93	можно сказать	5	3
94	к тому	4	3
95	более или	5	3
96	в нем	5	3
97	отношение к	5	3
98	все это	2	3
99	отношения к	2	3
100	их в	3	3
101	но как	2	3
102	мы имеем	6	3
103	в одном	2	3
104	в жизни	2	3
105	один из	2	3
106	что он	3	3
107	и притом	3	3
108	могла бы	2	3
109	в своей	5	3
110	так и	11	3
111	или менее	5	3
112	а с	2	3
113	в той	3	3
114	того чтобы	2	3
115	с самим	2	3
116	я в	11	3
117	в основе	4	3
118	в частности	13	2
119	тому что	2	2
120	была бы	3	2
121	а только	4	2
122	ни в	5	2
123	в самой	2	2
124	мог бы	3	2
125	в виду	5	2
126	так или	3	2
127	и тем	2	2
128	но она	2	2
129	образом и	2	2
130	в слове	3	2
131	тех или	2	2
132	заключается в	2	2
133	во втором	4	2
134	так же	2	2
135	самим собою	2	2
136	как это	5	2
137	то есть	18	2
138	ни к	2	2
139	не сама	2	2
140	о чем	2	2
141	жизни в	2	2
142	превращается в	2	2
143	не с	2	2
144	это тоже	2	2
145	то в	2	2
146	в качестве	24	2
147	об этом	2	2
148	он не	4	2
149	как в	2	2
150	приводит к	5	2
151	тогда как	13	2
152	для такого	2	2
153	для того	2	2
154	и его	12	2
155	или иначе	4	2
156	не случайно	3	2
157	отношении к	2	2
158	не все	2	2
