N	2gram	Berdyaev_N_1	Komedia
1	и в	16	22
2	том что	2	12
3	в том	8	11
4	но и	3	11
5	не только	5	10
6	в то	2	10
7	как и	7	9
8	может быть	7	9
9	и не	11	8
10	о том	4	8
11	что в	9	6
12	к тому	3	6
13	ни в	6	6
14	такого рода	2	6
15	не в	6	6
16	а в	2	6
17	с другой	3	5
18	прежде всего	4	5
19	в истории	3	5
20	так и	2	5
21	как в	3	5
22	все это	5	5
23	другой стороны	2	5
24	нового времени	12	5
25	и даже	2	5
26	войны и	2	5
27	потому что	4	5
28	на протяжении	2	4
29	в нем	5	4
30	время как	2	4
31	но в	2	4
32	место в	2	3
33	же как	2	3
34	не менее	4	3
35	в них	4	3
36	вопрос о	3	3
37	новое время	4	3
38	по своему	4	3
39	одной стороны	2	3
40	у него	2	3
41	хотя и	2	3
42	он не	8	3
43	так же	2	3
44	с одной	2	3
45	мы не	2	3
46	и на	2	3
47	в свои	2	3
48	в этом	7	3
49	и с	2	3
50	могут быть	2	3
51	и все	4	3
52	как это	2	3
53	времени и	2	2
54	за пределы	3	2
55	такой же	2	2
56	одна из	2	2
57	но не	2	2
58	совсем не	12	2
59	еще не	3	2
60	в новое	3	2
61	с ее	5	2
62	то что	4	2
63	не к	2	2
64	вернуться к	2	2
65	наряду с	3	2
66	вместе с	2	2
67	который в	2	2
68	для этого	2	2
69	не может	16	2
70	но это	6	2
71	и формы	2	2
72	в себе	2	2
73	как будто	2	2
74	ли это	2	2
