N	2gram	Bakhtin_sl_2	Vladivir
1	и в	39	40
2	то что	2	28
3	и не	22	25
4	не только	24	25
5	то есть	26	24
6	у него	3	24
7	но и	21	18
8	в том	5	18
9	том что	5	18
10	что в	3	17
11	также и	2	17
12	в этом	16	16
13	в его	7	14
14	не может	20	14
15	точки зрения	8	13
16	вовсе не	10	13
17	в виде	2	13
18	только в	5	13
19	а именно	2	12
20	сказать что	3	12
21	даже и	4	12
22	никогда не	7	11
23	таким образом	8	11
24	о том	2	11
25	прежде всего	8	10
26	ни в	4	10
27	и потому	7	10
28	и его	33	10
29	не менее	4	9
30	уже не	5	9
31	и с	9	9
32	в себе	2	9
33	не был	2	8
34	в своем	6	8
35	для него	7	8
36	может быть	37	8
37	он не	2	8
38	а также	3	8
39	как мы	7	8
40	а не	14	8
41	и как	3	7
42	хотя и	2	7
43	а в	4	7
44	так как	4	7
45	в то	4	7
46	что и	3	7
47	вместе с	2	7
48	как и	6	7
49	и здесь	2	6
50	кроме того	2	6
51	и даже	7	6
52	и на	4	6
53	и от	3	6
54	по себе	5	6
55	xix века	4	6
56	во всем	4	6
57	в смысле	4	6
58	так и	15	6
59	хотя бы	3	6
60	с точки	3	6
61	но это	3	6
62	с другой	5	5
63	для нас	5	5
64	отношения к	4	5
65	в отношении	4	5
66	не было	2	5
67	все эти	6	5
68	только и	2	5
69	в ней	3	5
70	в истории	11	5
71	в одном	2	5
72	что он	2	5
73	мы уже	2	5
74	или менее	2	5
75	в данном	2	5
76	дело в	2	5
77	более или	2	5
78	в дальнейшем	2	4
79	до конца	17	4
80	бы и	3	4
81	в результате	2	4
82	как это	3	4
83	и все	5	4
84	не с	3	4
85	чем в	2	4
86	но не	6	4
87	здесь в	3	4
88	еще не	7	4
89	в основном	4	4
90	даже в	2	4
91	если оно	2	4
92	то же	4	4
93	все же	6	4
94	но в	6	4
95	или как	4	4
96	перед нами	3	3
97	уже в	2	3
98	независимо от	2	3
99	это не	5	3
100	человека и	3	3
101	только о	2	3
102	но все	5	3
103	одной стороны	5	3
104	при этом	7	3
105	как бы	7	3
106	всяком случае	2	3
107	в нем	19	3
108	к нему	3	3
109	мы видели	2	3
110	отличается от	2	3
111	в связи	2	3
112	с одной	5	3
113	именно в	2	3
114	не столько	3	3
115	и чисто	2	3
116	с их	3	3
117	за пределы	2	3
118	оно не	8	3
119	не все	2	3
120	самого же	2	3
121	в отличие	12	3
122	того чтобы	2	3
123	не в	9	3
124	и для	5	3
125	в таком	4	3
126	во всяком	3	3
127	далеко не	2	3
128	здесь не	4	3
129	в чем	3	3
130	отличие от	13	3
131	не могут	5	2
132	ни к	2	2
133	должна быть	3	2
134	в нашем	2	2
135	в этих	7	2
136	все они	2	2
137	к своему	9	2
138	же время	4	2
139	и само	2	2
140	и наконец	5	2
141	же и	2	2
142	той или	5	2
143	в их	2	2
144	которых мы	2	2
145	в одно	2	2
146	этом отношении	3	2
147	к его	2	2
148	но как	2	2
149	его в	4	2
150	и ни	2	2
151	только с	2	2
152	с его	7	2
153	и более	2	2
154	с этим	2	2
155	с таким	2	2
156	стороны и	3	2
157	но мы	2	2
158	еще раз	3	2
159	и к	6	2
160	очень легко	2	2
161	она не	6	2
162	в сущности	6	2
163	но оно	2	2
164	на почве	4	2
165	его всегда	2	2
166	быть и	3	2
167	на него	2	2
168	и речи	2	2
169	не меньше	2	2
170	для того	2	2
171	роль в	2	2
172	мы не	2	2
173	как например	2	2
174	в другом	2	2
175	связи с	3	2
176	как с	2	2
