N	2gram	Vinokur_St_3	Myshleni
1	в развитии	2	28
2	то что	12	26
3	что он	19	25
4	в этом	24	25
5	потому что	5	21
6	таким образом	10	19
7	в том	20	18
8	не может	7	18
9	точки зрения	7	18
10	что в	19	16
11	и в	25	16
12	того что	5	16
13	так как	3	16
14	не только	12	16
15	том что	15	15
16	для того	2	14
17	в сущности	2	13
18	сказать что	4	13
19	и не	10	12
20	и что	3	12
21	в области	6	12
22	отношение к	4	11
23	в его	12	11
24	но не	2	10
25	было бы	7	10
26	как мы	2	10
27	а не	5	10
28	только в	6	10
29	в отношении	2	9
30	может быть	19	9
31	с точки	4	9
32	точка зрения	4	8
33	о том	8	8
34	если бы	4	8
35	как и	4	8
36	он не	5	8
37	то же	5	8
38	но он	3	7
39	того же	2	7
40	так и	5	7
41	в какой	3	6
42	что все	3	6
43	не в	6	6
44	в этой	14	6
45	но и	9	6
46	и на	6	6
47	но в	5	6
48	у него	9	6
49	состоит в	4	6
50	к тому	2	6
51	в другом	3	6
52	на вопрос	3	5
53	самого начала	2	5
54	никогда не	2	5
55	тому что	3	5
56	в такой	2	5
57	показывает что	3	5
58	что они	2	5
59	для него	3	5
60	как бы	6	5
61	не является	3	5
62	этом отношении	4	5
63	заключается в	2	5
64	в то	7	5
65	тогда когда	2	5
66	можно сказать	4	5
67	как в	6	5
68	только что	2	5
69	с самого	2	5
70	говорит что	5	5
71	тем что	19	5
72	в которой	4	5
73	ничего не	4	5
74	что если	2	4
75	все эти	3	4
76	с другой	5	4
77	это не	7	4
78	с этой	3	4
79	то время	4	4
80	так что	11	4
81	это есть	4	4
82	в свою	2	4
83	в самом	2	4
84	в целом	4	4
85	в системе	3	4
86	не имеет	2	4
87	и по	2	4
88	время как	4	4
89	что мы	3	4
90	в результате	2	4
91	к которому	3	4
92	мы видим	4	4
93	тем более	3	4
94	в качестве	4	4
95	еще не	2	4
96	вместе с	2	4
97	той же	2	4
98	могут быть	2	4
99	такой же	2	4
100	не менее	2	3
101	раньше чем	3	3
102	прежде всего	10	3
103	в смысле	4	3
104	но это	4	3
105	самом деле	2	3
106	одной стороны	3	3
107	но как	2	3
108	и тот	2	3
109	до конца	3	3
110	к нему	4	3
111	нас к	2	3
112	если в	2	3
113	и тем	4	3
114	от того	2	3
115	в их	3	3
116	с одной	2	3
117	как на	6	3
118	а в	6	3
119	и с	4	3
120	говорить о	3	3
121	в этих	11	3
122	к этой	2	3
123	между тем	6	3
124	мы не	2	3
125	и более	3	3
126	с тем	4	3
127	с этим	7	3
128	этих двух	2	3
129	к этому	3	3
130	он может	2	3
131	все же	4	3
132	то в	4	3
133	и может	2	3
134	одной из	2	3
135	а потому	2	3
136	сих пор	2	3
137	ее в	2	3
138	не на	2	3
139	на этом	3	3
140	как я	2	3
141	из которых	4	3
142	и его	3	3
143	отношения между	5	3
144	связи с	3	3
145	что эта	2	3
146	ответ на	5	3
147	в чем	4	3
148	до сих	2	3
149	себя и	2	2
150	что у	2	2
151	но все	2	2
152	на его	4	2
153	в ряде	2	2
154	его отношение	2	2
155	в ней	4	2
156	в виду	2	2
157	в котором	5	2
158	в своей	4	2
159	все это	8	2
160	другой стороны	5	2
161	то и	2	2
162	то обстоятельство	5	2
163	что для	3	2
164	на основе	2	2
165	в своих	8	2
166	обстоятельство что	5	2
167	и здесь	3	2
168	что эти	4	2
169	с которыми	2	2
170	на нее	2	2
171	но они	2	2
172	для его	2	2
173	в них	5	2
174	в жизни	4	2
175	вовсе не	2	2
176	и к	4	2
177	у нас	4	2
178	что я	3	2
179	мы имели	2	2
180	во всех	2	2
181	в центре	4	2
182	а с	2	2
183	такое же	2	2
184	во всяком	4	2
185	ни на	2	2
186	на протяжении	4	2
187	он делает	2	2
188	из этого	4	2
