N	2gram	Nazirov_Tr_1	Psycholo
1	то что	4	32
2	и в	18	31
3	в том	2	30
4	то есть	3	26
5	что в	4	23
6	может быть	7	22
7	при этом	3	19
8	не может	5	17
9	как и	5	16
10	том что	4	16
11	и не	7	16
12	не только	8	13
13	что и	2	13
14	так же	4	12
15	в этом	9	12
16	в самом	2	11
17	не в	2	11
18	потому что	2	10
19	ни в	2	9
20	как в	3	9
21	никогда не	2	8
22	все это	4	8
23	и что	4	8
24	что он	6	7
25	и его	6	7
26	о том	2	7
27	что это	5	6
28	до конца	2	6
29	отнюдь не	3	6
30	что она	2	6
31	и даже	4	6
32	в его	3	6
33	и все	4	5
34	в ее	2	5
35	все же	5	5
36	так что	2	5
37	говорит что	2	5
38	несмотря на	5	5
39	как бы	7	5
40	в целом	4	5
41	то же	5	5
42	в то	5	5
43	как будто	3	5
44	к тому	2	4
45	прежде всего	4	4
46	столь же	2	4
47	в себе	4	4
48	отличие от	2	4
49	что я	4	4
50	одна из	2	4
51	у него	6	4
52	один из	3	4
53	как это	3	4
54	под влиянием	2	3
55	уже в	3	3
56	не могут	2	3
57	с тем	2	3
58	в частности	2	3
59	в своем	3	3
60	точно так	2	3
61	что все	2	3
62	вопрос о	2	3
63	но это	4	3
64	в этой	4	3
65	он не	2	3
66	так и	5	3
67	который в	2	3
68	в отличие	2	3
69	в таком	2	3
70	в конце	3	3
71	что эти	2	3
72	и это	2	3
73	но в	6	3
74	что образ	3	2
75	она должна	2	2
76	и как	3	2
77	имеет в	2	2
78	с ним	3	2
79	и здесь	2	2
80	уже не	2	2
81	только о	2	2
82	что с	3	2
83	по поводу	2	2
84	о чем	3	2
85	к жизни	5	2
86	она как	2	2
87	в нем	4	2
88	как говорит	2	2
89	отношение к	2	2
90	но и	4	2
91	говорит о	2	2
92	то и	2	2
93	по мнению	2	2
94	тем самым	3	2
95	к нему	3	2
96	ничего не	2	2
97	в русском	2	2
98	и с	7	2
99	бы и	2	2
100	и то	2	2
101	его в	2	2
102	одном из	2	2
103	в одном	2	2
