N	2gram	Potebnia_M_2	Vladivir
1	и в	24	31
2	не только	15	24
3	а к	2	22
4	но и	9	19
5	то что	20	18
6	и не	19	17
7	у него	2	15
8	том что	8	14
9	что в	16	14
10	в этом	8	14
11	что он	4	12
12	по поводу	6	12
13	в его	2	12
14	но в	4	12
15	с его	2	11
16	в том	18	11
17	между прочим	4	11
18	потому что	49	11
19	о том	5	11
20	так что	10	10
21	и то	3	10
22	никогда не	4	9
23	с а	4	9
24	а в	8	9
25	даже и	2	9
26	только в	11	9
27	и по	2	8
28	в то	6	8
29	так как	10	8
30	уже в	5	7
31	для него	10	7
32	и его	2	7
33	как это	2	7
34	сказать что	2	7
35	к этому	2	6
36	у нас	2	6
37	того же	14	6
38	и потому	2	6
39	может быть	23	6
40	в котором	4	6
41	так и	5	6
42	не может	12	6
43	то же	12	6
44	и что	4	6
45	это было	2	6
46	а с	2	5
47	все это	2	5
48	вовсе не	9	5
49	на то	5	5
50	не в	13	5
51	и если	4	5
52	и от	3	5
53	что и	11	5
54	не было	6	5
55	но он	2	5
56	с ним	5	5
57	же время	2	4
58	что у	2	4
59	и все	3	4
60	этом смысле	2	4
61	в нем	9	4
62	главным образом	4	4
63	для нас	31	4
64	к ней	2	4
65	в себе	10	4
66	что его	3	4
67	и вообще	3	4
68	как и	7	4
69	и как	6	4
70	совсем не	2	4
71	хотя и	3	4
72	один из	2	4
73	в нашем	2	4
74	ни с	2	4
75	в нас	3	4
76	а а	2	4
77	и у	3	4
78	что для	3	4
79	во всем	2	4
80	как он	4	4
81	в которой	5	4
82	для меня	4	4
83	под влиянием	8	3
84	в общем	2	3
85	но только	2	3
86	но на	2	3
87	с другой	6	3
88	в жизни	2	3
89	как в	10	3
90	но не	12	3
91	но это	3	3
92	что они	5	3
93	более или	8	3
94	но что	2	3
95	тот же	5	3
96	чувства к	2	3
97	за пределы	2	3
98	все же	5	3
99	в целом	3	3
100	вместе с	11	3
101	на него	3	3
102	или менее	8	3
103	другой стороны	2	3
104	в связи	2	3
105	таким образом	11	3
106	все эти	2	3
107	если не	4	3
108	о которой	3	3
109	уже не	4	3
110	и притом	3	3
111	и на	8	3
112	то мы	2	3
113	с в	2	3
114	и здесь	2	3
115	во время	4	3
116	то есть	30	3
117	но она	3	3
118	место в	4	2
119	тем что	7	2
120	с тем	4	2
121	время и	2	2
122	не менее	5	2
123	для нее	2	2
124	но даже	3	2
125	в них	5	2
126	хотя бы	2	2
127	и затем	2	2
128	не столько	2	2
129	указывает на	2	2
130	что все	2	2
131	на все	3	2
132	образом в	4	2
133	и весь	2	2
134	этого последнего	3	2
135	тем не	6	2
136	мы знаем	2	2
137	которой мы	2	2
138	от него	4	2
139	на этом	2	2
140	все что	3	2
141	то время	4	2
142	что с	2	2
143	и тот	2	2
144	еще не	4	2
145	при этом	13	2
146	того что	7	2
147	было бы	13	2
148	кажется что	3	2
149	некоторое время	2	2
150	что на	3	2
151	в самом	4	2
152	нет возможности	2	2
153	всяком случае	7	2
154	и т	6	2
155	из них	5	2
156	со стороны	3	2
157	что она	3	2
158	только что	3	2
159	так например	3	2
160	но мы	3	2
161	то и	9	2
162	т д	3	2
163	и для	3	2
164	и других	2	2
165	с первого	2	2
166	тем самым	4	2
167	того чтобы	2	2
168	для того	5	2
169	что мы	11	2
170	что такое	2	2
171	как на	3	2
172	той же	3	2
173	с ними	3	2
174	имеют для	2	2
175	во всяком	7	2
176	в каком	3	2
177	из этих	4	2
178	о котором	2	2
179	мы должны	2	2
180	его на	2	2
181	и это	2	2
182	а это	2	2
183	в чем	7	2
184	прибавить что	2	2
