N	2gram	Tiupa_Narr_2	TeoriaLi
1	в мире	4	24
2	не только	26	18
3	в качестве	14	17
4	тогда как	15	16
5	и не	14	16
6	я в	5	16
7	а в	9	14
8	в частности	11	13
9	и в	13	13
10	состоит в	12	13
11	может быть	10	12
12	так и	9	12
13	то есть	9	12
14	представляет собой	16	11
15	при этом	14	11
16	в этом	13	11
17	в том	14	11
18	но не	3	10
19	в тексте	8	10
20	а не	17	10
21	и его	3	10
22	в его	6	9
23	то же	4	9
24	в душе	2	8
25	сводится к	9	8
26	что в	4	8
27	своего рода	9	8
28	такого рода	12	8
29	отношению к	5	8
30	но и	15	8
31	по отношению	5	8
32	себя в	2	7
33	в себе	8	7
34	том что	13	7
35	во второй	2	7
36	в отличие	5	7
37	в данном	10	7
38	точки зрения	5	7
39	по своей	3	7
40	в то	5	7
41	только в	11	7
42	как это	4	7
43	отличие от	5	7
44	место в	5	6
45	с его	3	6
46	же время	3	6
47	еще не	2	6
48	картина мира	8	6
49	присутствия я	2	6
50	присутствия в	2	6
51	как бы	6	6
52	но в	6	6
53	в рамках	6	5
54	однако в	2	5
55	в своем	6	5
56	или иного	3	5
57	не сводится	7	5
58	или иной	3	5
59	а также	6	5
60	в ее	4	5
61	как и	4	5
62	не в	8	5
63	в самом	2	5
64	того или	3	5
65	в нем	5	5
66	данном случае	6	5
67	как в	5	5
68	он не	5	5
69	уже не	4	5
70	тем самым	5	5
71	коммуникативного события	8	5
72	в принципе	2	5
73	с другой	5	5
74	не случайно	2	5
75	между тем	3	5
76	мы имеем	3	5
77	героя и	2	5
78	не менее	4	4
79	конечном счете	3	4
80	не столько	5	4
81	личности в	2	4
82	в свою	2	4
83	можно сказать	6	4
84	читателя в	4	4
85	в конечном	3	4
86	за пределами	3	4
87	в своей	4	4
88	то что	8	4
89	в форме	5	4
90	и т.п	6	4
91	не может	8	4
92	в слове	3	4
93	сказать что	3	4
94	хотя и	5	4
95	но он	2	4
96	говорить о	2	4
97	как правило	3	4
98	всего лишь	6	4
99	мира и	3	4
100	перед нами	4	3
101	по мысли	5	3
102	никогда не	6	3
103	в нашем	2	3
104	со своей	2	3
105	прежде всего	6	3
106	в итоге	3	3
107	и к	6	3
108	тем не	5	3
109	в соответствии	3	3
110	по своему	2	3
111	для него	4	3
112	того что	6	3
113	и сам	3	3
114	иного рода	2	3
115	той или	3	3
116	не все	2	3
117	картины мира	2	3
118	художественного письма	2	3
119	как раз	3	3
120	таким образом	5	3
121	а с	2	3
122	именно в	2	3
123	мира в	4	3
124	в другом	4	3
125	и что	2	3
126	и по	3	3
127	самим собой	3	3
128	о ней	3	3
129	потому что	2	3
130	нового времени	2	3
131	в этой	4	3
132	и т.д	4	3
133	все эти	3	3
134	к которому	2	3
135	я не	5	2
136	только не	2	2
137	о чем	2	2
138	если бы	4	2
139	поскольку не	3	2
140	восходит к	2	2
141	высказывания как	2	2
142	между собой	3	2
143	в конце	4	2
144	жизни в	6	2
145	в аспекте	3	2
146	это не	3	2
147	человеческого я	5	2
148	на фоне	2	2
149	вовсе не	2	2
150	в литературе	4	2
151	что он	5	2
152	к тому	9	2
153	личности как	2	2
154	об этом	4	2
155	равной степени	2	2
156	и того	3	2
157	соответствии с	3	2
158	что они	3	2
159	и адресата	2	2
160	одной стороны	5	2
161	имеем дело	2	2
162	о своем	2	2
163	вслед за	6	2
164	имеет место	2	2
165	иначе говоря	7	2
166	к его	3	2
167	своей природе	2	2
168	не могло	2	2
169	и тем	5	2
170	в целом	3	2
171	в культуре	2	2
172	коммуникативное событие	6	2
173	со стороны	6	2
174	здесь не	2	2
175	как к	3	2
176	собственно говоря	2	2
177	и для	3	2
178	с одной	5	2
179	и состоит	2	2
180	в себя	4	2
181	в той	5	2
182	с точки	2	2
183	и даже	3	2
184	следует подчеркнуть	3	2
185	так же	2	2
186	роль в	2	2
187	или иначе	2	2
188	в рассказе	4	2
189	и мира	4	2
190	существования в	2	2
191	у него	6	2
192	следует признать	4	2
193	и здесь	2	2
194	не следует	3	2
195	в равной	2	2
196	о том	5	2
197	в чем	2	2
198	в области	2	2
199	в состав	3	2
