N	2gram	Propp_Isto_7	Mirosoze
1	и в	24	46
2	в нем	6	22
3	у него	10	22
4	может быть	14	21
5	в этом	12	20
6	никогда не	4	18
7	и не	4	18
8	не только	21	18
9	но и	11	15
10	не может	14	15
11	как и	6	13
12	а не	8	13
13	прежде всего	2	12
14	друг друга	2	12
15	потому что	9	12
16	но он	2	11
17	и он	3	11
18	та же	2	10
19	но в	5	10
20	он не	6	10
21	не в	9	9
22	но это	3	8
23	как бы	4	8
24	так как	8	8
25	отношение к	5	8
26	она не	2	8
27	на земле	2	8
28	что он	21	7
29	как в	12	7
30	вопрос о	3	6
31	что это	6	6
32	так же	6	6
33	того что	6	6
34	и здесь	12	6
35	и там	2	6
36	доходит до	2	6
37	в русской	5	6
38	то же	8	5
39	в самом	2	5
40	один из	7	5
41	что она	5	5
42	это не	10	5
43	в конце	3	5
44	тот кто	5	5
45	и все	6	5
46	во всем	2	5
47	то что	7	5
48	и его	3	5
49	и это	2	5
50	что в	13	4
51	тому что	2	4
52	что у	4	4
53	в царстве	2	4
54	они не	2	4
55	не имеет	4	4
56	должны быть	3	4
57	с его	3	4
58	думать что	2	4
59	том что	10	4
60	что и	8	4
61	так и	5	4
62	т е	16	4
63	уже не	2	4
64	его на	2	4
65	же как	4	3
66	и от	2	3
67	не знал	2	3
68	в образе	3	3
69	к которой	2	3
70	ни в	2	3
71	в том	7	3
72	что они	3	3
73	и нет	2	3
74	не стоит	2	3
75	не так	2	3
76	и на	2	3
77	сказать что	2	3
78	о том	9	3
79	его в	3	3
80	как он	6	3
81	с ним	5	3
82	в них	3	3
83	есть и	4	3
84	связано с	3	3
85	до сих	2	3
86	не будет	2	3
87	сих пор	3	3
88	того как	3	3
89	и она	3	3
90	тем что	6	3
91	он в	2	3
92	только в	6	3
93	в чем	5	3
94	царства в	3	2
95	уже в	3	2
96	сам он	2	2
97	способность к	2	2
98	в этих	13	2
99	не всегда	4	2
100	это означает	2	2
101	но эта	2	2
102	нас не	2	2
103	так что	3	2
104	в действительности	2	2
105	и если	3	2
106	со своим	4	2
107	на его	2	2
108	но для	2	2
109	хотя и	3	2
110	к нему	7	2
111	он также	2	2
112	не имеют	2	2
113	что за	3	2
114	стоит в	2	2
115	его не	2	2
116	а в	10	2
117	увидим что	2	2
118	к себе	3	2
119	в основе	2	2
120	точки зрения	4	2
121	приходит к	3	2
122	не случайно	3	2
123	е в	2	2
124	есть еще	2	2
125	него и	3	2
126	с собой	7	2
127	превращается в	3	2
128	же что	2	2
129	тогда когда	3	2
130	если он	3	2
131	мы видим	10	2
132	связи с	3	2
133	после того	4	2
134	и что	10	2
135	тот же	2	2
136	мы увидим	6	2
137	и тот	2	2
138	не от	2	2
139	себе и	3	2
140	во всех	7	2
141	к ней	2	2
142	вместе с	7	2
143	ее в	3	2
144	что не	2	2
145	и эта	2	2
146	и этим	3	2
147	в которой	2	2
148	ничего не	5	2
