N	3gram	Tiupa_Narr_1	DiskursI
1	в том что	8	13
2	с одной стороны	7	9
3	по отношению к	6	9
4	тогда как в	2	5
5	о том что	6	5
6	в отличие от	5	4
7	то же время	3	4
8	к тому же	4	4
9	с другой стороны	4	3
10	той или иной	4	3
11	в свою очередь	3	3
12	не может быть	5	3
13	в то же	3	3
14	свидетель и судия	2	2
15	сами по себе	2	2
16	в том числе	6	2
17	можно сказать что	4	2
18	том числе и	4	2
19	в данном случае	4	2
20	рассказывания а не	2	2
21	состоит в том	3	2
22	как к содержанию	2	2
23	в значительной степени	2	2
24	и в форме	2	2
25	индивидуального речевого замысла	2	2
26	мы имеем дело	2	2
27	вольно или невольно	3	2
28	не сводится к	2	2
29	более или менее	2	2
30	не только в	2	2
31	подобно тому как	2	2
32	то есть в	2	2
33	в основе своей	4	2
34	жанры как формы	2	2
35	а не в	2	2
36	благодаря связи с	2	2
37	по сути дела	2	2
38	существует благодаря связи	2	2
