N	2gram	Savitsky_E_1	Myslijsy
1	потому что	3	52
2	то есть	6	42
3	и в	37	39
4	может быть	6	27
5	в том	11	26
6	только в	9	25
7	что в	21	22
8	не может	9	22
9	а не	2	21
10	так как	7	21
11	не только	18	21
12	но и	14	20
13	и не	14	18
14	том что	6	16
15	не в	5	15
16	в этом	12	15
17	если бы	2	14
18	так и	10	13
19	в себе	9	13
20	таким образом	2	13
21	было бы	8	12
22	мы не	4	10
23	по себе	4	10
24	не есть	2	10
25	то что	6	10
26	как в	3	10
27	и что	2	10
28	могут быть	2	9
29	для нас	4	9
30	как и	7	9
31	тем что	3	9
32	тогда когда	2	9
33	но в	14	9
34	в одном	2	8
35	но не	5	8
36	вместе с	2	8
37	со стороны	5	8
38	того что	7	8
39	точки зрения	23	8
40	с другой	7	7
41	на язык	2	7
42	в ней	4	7
43	в истории	2	7
44	с этим	2	7
45	в этих	2	7
46	независимо от	4	6
47	и как	2	6
48	что на	2	6
49	как бы	6	6
50	что и	3	6
51	то же	15	6
52	и по	5	6
53	в каком	4	6
54	с тем	3	5
55	вовсе не	6	5
56	несмотря на	4	5
57	то в	4	5
58	и потому	5	5
59	в его	2	5
60	другой стороны	2	5
61	во всех	6	5
62	так же	9	5
63	а в	2	5
64	и для	3	5
65	во втором	2	5
66	не имеет	4	5
67	в таком	3	5
68	между тем	8	5
69	с в	2	5
70	не могут	2	4
71	никогда не	3	4
72	тем самым	5	4
73	в стороне	3	4
74	вопрос о	4	4
75	этом смысле	3	4
76	прежде всего	9	4
77	не более	3	4
78	в свою	3	4
79	в смысле	9	4
80	бы ни	3	4
81	мы видели	3	4
82	мы видим	2	4
83	свою очередь	2	4
84	же время	14	4
85	к тому	8	4
86	в своих	2	4
87	и притом	4	4
88	и других	2	4
89	и даже	6	4
90	само по	4	4
91	в то	16	4
92	там где	3	4
93	бы в	2	4
94	что это	2	3
95	в них	3	3
96	столь же	5	3
97	и во	2	3
98	и от	3	3
99	что все	2	3
100	думать что	8	3
101	в этой	2	3
102	в своем	14	3
103	очевидно что	3	3
104	того же	3	3
105	она не	2	3
106	одной стороны	8	3
107	в другой	2	3
108	все более	9	3
109	в своей	8	3
110	что если	2	3
111	для того	6	3
112	помнить что	2	3
113	и тем	3	3
114	в мире	2	3
115	в самом	4	3
116	то ни	4	3
117	с одной	8	3
118	заключается в	2	3
119	как на	3	3
120	должна быть	2	3
121	не из	3	3
122	и то	2	3
123	сказать что	4	3
124	во всяком	3	3
125	хотя и	2	3
126	он не	2	3
127	отношений между	2	3
128	с точки	17	3
129	мы должны	2	3
130	и все	2	3
131	с и	10	3
132	то не	2	3
133	и с	2	3
134	но как	2	3
135	но на	3	2
136	и более	2	2
137	с этой	6	2
138	но с	2	2
139	в применении	3	2
140	бы то	4	2
141	не можем	2	2
142	стороны и	6	2
143	на то	6	2
144	в некотором	4	2
145	но если	5	2
146	как мы	5	2
147	же в	2	2
148	ни было	4	2
149	жизни и	2	2
150	есть не	2	2
151	не будет	3	2
152	чем в	4	2
153	для них	2	2
154	того чтобы	6	2
155	мог бы	2	2
156	от друга	2	2
157	между прочим	7	2
158	имеет место	2	2
159	и если	2	2
160	к ней	4	2
161	с а	2	2
162	некотором смысле	3	2
163	друг от	2	2
164	заключает в	3	2
165	что же	2	2
166	на основании	2	2
167	в их	11	2
168	что к	2	2
169	тем более	4	2
170	и только	3	2
171	и того	2	2
172	еще более	2	2
173	этот вопрос	2	2
174	из того	2	2
175	применении к	3	2
176	в течение	5	2
177	различия в	3	2
178	на этот	2	2
179	или в	2	2
180	хотя бы	15	2
181	за тем	2	2
182	во многих	4	2
183	к ним	3	2
184	можно думать	3	2
185	по общему	3	2
186	влияние на	2	2
187	духовной жизни	2	2
188	как будто	2	2
189	его на	2	2
190	о том	3	2
191	при помощи	2	2
192	дело в	3	2
193	есть в	2	2
194	заметить что	2	2
195	в других	2	2
196	и народов	3	2
197	мы можем	3	2
