N	2gram	Bakhtin_Fr_7	Otkroven
1	у него	6	22
2	и в	41	19
3	но и	9	13
4	и не	7	13
5	в этом	15	12
6	а не	2	11
7	не в	9	11
8	человека в	2	11
9	может быть	4	11
10	не только	5	11
11	и все	14	10
12	в нем	7	10
13	никогда не	2	9
14	к человеку	2	9
15	не было	3	9
16	в человеке	2	9
17	потому что	5	9
18	прежде всего	11	9
19	он был	3	8
20	но он	4	7
21	до конца	2	7
22	он не	4	7
23	в его	12	7
24	все это	10	6
25	как и	14	6
26	то что	8	5
27	а в	5	5
28	отношение к	2	5
29	в том	11	5
30	для него	6	5
31	в этой	13	5
32	с его	2	4
33	на земле	4	4
34	и его	9	4
35	все эти	13	4
36	не может	3	4
37	что в	9	4
38	к нему	5	3
39	в этих	2	3
40	и есть	3	3
41	это не	6	3
42	и вот	2	3
43	что он	3	3
44	того что	2	3
45	еще не	2	3
46	и от	8	3
47	все что	4	3
48	и ее	2	3
49	в себе	11	3
50	было бы	4	3
51	никто не	10	3
52	о том	6	3
53	с ним	2	3
54	как бы	7	3
55	это было	2	3
56	уже в	5	2
57	что и	5	2
58	не есть	2	2
59	и для	5	2
60	всего в	5	2
61	так и	10	2
62	в своем	9	2
63	что у	3	2
64	что есть	2	2
65	что все	2	2
66	к этому	5	2
67	движение в	8	2
68	и к	5	2
69	не имеет	3	2
70	должно быть	4	2
71	в которой	2	2
72	том что	4	2
73	в человеческом	3	2
74	и на	4	2
75	и то	2	2
76	и с	4	2
77	учение о	2	2
78	совсем не	3	2
79	тем что	3	2
80	момент в	4	2
81	его в	3	2
82	в глубь	2	2
83	в своей	3	2
84	так как	3	2
85	ничего не	4	2
86	хотя и	4	2
87	но в	8	2
88	и потому	3	2
