N	2gram	Propp_Isto_2	DiskursI
1	в себе	4	19
2	при этом	4	17
3	состоит в	2	16
4	в качестве	3	16
5	и в	15	16
6	может быть	17	16
7	как и	2	16
8	в этом	11	16
9	и не	11	15
10	а не	5	14
11	представляет собой	5	11
12	но и	14	11
13	но в	6	11
14	том что	7	10
15	не только	18	10
16	так и	5	9
17	не может	5	9
18	в том	6	8
19	а также	2	8
20	как в	5	8
21	прежде всего	5	7
22	в нем	7	7
23	ни в	2	7
24	но не	2	7
25	еще не	9	6
26	все же	9	6
27	то же	10	6
28	тем самым	2	6
29	а с	2	5
30	что в	12	5
31	с другой	2	5
32	то что	12	5
33	и на	4	5
34	в одном	5	4
35	одной стороны	3	4
36	как бы	6	4
37	отношению к	3	4
38	по отношению	3	4
39	с одной	4	4
40	человека в	2	4
41	роль в	3	4
42	потому что	9	4
43	одно из	2	4
44	в этой	4	4
45	и то	2	4
46	о том	3	4
47	перед нами	2	3
48	и может	2	3
49	могут быть	2	3
50	в этих	11	3
51	это не	2	3
52	не столько	2	3
53	из этих	3	3
54	не в	7	3
55	здесь в	2	3
56	не знают	2	3
57	например в	2	3
58	он не	8	3
59	в его	6	3
60	в русской	5	3
61	в котором	5	3
62	принадлежит к	2	3
63	из них	2	3
64	и ее	2	3
65	приводит к	2	3
66	не было	2	3
67	все эти	4	3
68	и наконец	5	3
69	и его	3	3
70	но это	4	3
71	в другом	9	3
72	не знает	2	3
73	как будто	3	3
74	только в	6	3
75	его в	10	3
76	же как	5	2
77	никогда не	15	2
78	а потом	4	2
79	этом случае	5	2
80	что он	24	2
81	такой же	2	2
82	является не	2	2
83	живет в	2	2
84	в ней	4	2
85	что и	6	2
86	с ее	2	2
87	вместе с	7	2
88	именно в	2	2
89	в себя	3	2
90	все это	3	2
91	другой стороны	2	2
92	и для	2	2
93	а в	12	2
94	той же	2	2
95	тому как	3	2
96	тут же	2	2
97	их в	2	2
98	и с	4	2
99	подобно тому	3	2
100	и это	3	2
101	здесь не	2	2
102	мы имеем	15	2
