N	2gram	Propp_Russ_2	Tvorches
1	и в	29	21
2	как бы	18	17
3	в то	2	15
4	то же	4	13
5	что в	22	12
6	как и	11	12
7	том что	22	11
8	все это	10	10
9	как в	7	8
10	то что	5	8
11	в том	22	7
12	при этом	6	7
13	не только	10	7
14	в году	3	7
15	и на	6	7
16	но в	5	7
17	жизни в	2	6
18	и все	4	6
19	не менее	2	6
20	в котором	3	6
21	а в	9	6
22	в этом	11	6
23	о том	9	6
24	а не	4	5
25	может быть	13	5
26	в этой	3	5
27	все же	2	5
28	таким образом	6	5
29	в своих	2	5
30	потому что	5	5
31	та же	2	4
32	прежде всего	2	4
33	и как	2	4
34	одним из	2	4
35	один из	2	4
36	в своей	2	4
37	не может	5	4
38	это не	5	4
39	в момент	2	4
40	и от	3	4
41	на эту	2	4
42	и другие	14	3
43	никогда не	2	3
44	с другой	2	3
45	представление о	5	3
46	это в	2	3
47	не был	2	3
48	говорит о	2	3
49	это и	2	3
50	но не	5	3
51	но если	3	3
52	и т	5	3
53	но и	8	3
54	дело не	2	3
55	ее в	8	3
56	в их	2	3
57	уже не	4	3
58	на земле	5	3
59	и других	3	3
60	на самом	2	3
61	там же	12	3
62	того что	3	3
63	и по	3	3
64	так же	4	3
65	в которой	2	3
66	и с	10	3
67	в виде	4	3
68	далеко не	4	3
69	представляет собой	2	3
70	так как	13	3
71	в этих	3	2
72	в качестве	3	2
73	не столько	2	2
74	к этому	5	2
75	ее и	2	2
76	что и	2	2
77	влияние на	2	2
78	а затем	4	2
79	об этом	2	2
80	так что	4	2
81	не в	4	2
82	одна из	11	2
83	в глаза	2	2
84	до конца	3	2
85	из них	4	2
86	это означало	2	2
87	живет в	3	2
88	к ней	2	2
89	в него	2	2
90	тем не	2	2
91	еще в	2	2
92	гроба и	2	2
93	вместе с	6	2
94	но она	2	2
95	к жизни	5	2
96	данном случае	7	2
97	вряд ли	2	2
98	в отличие	3	2
99	из гроба	2	2
100	что для	3	2
101	именно в	4	2
102	что она	3	2
103	здесь мы	2	2
104	для этой	3	2
105	отличие от	3	2
106	представлений о	2	2
107	или в	7	2
108	людей и	2	2
109	могут быть	2	2
110	но он	3	2
111	это время	2	2
112	в данном	6	2
113	в виду	2	2
