N	3gram	Vygotskiy__2	Vladivir
1	в том что	17	10
2	тем не менее	4	9
3	о том что	4	8
4	с точки зрения	10	6
5	не может быть	8	6
6	это значит что	2	6
7	в конце концов	3	5
8	в то время	3	4
9	точно так же	3	4
10	и то что	2	4
11	том что в	2	3
12	само по себе	3	3
13	только в том	4	3
14	в то же	2	3
15	бы то ни	2	3
16	во всяком случае	2	3
17	в том случае	4	3
18	что и в	3	3
19	то же время	2	2
20	в данном случае	4	2
21	к тому что	2	2
22	так же как	4	2
23	и в том	2	2
24	сам по себе	4	2
25	ни в каком	2	2
26	то время как	2	2
27	на то что	6	2
28	с другой стороны	2	2
29	в этом отношении	5	2
30	в согласии с	2	2
31	том случае если	4	2
