N	2gram	Tiupa_Hudo_2	PoTuStor
1	может быть	8	17
2	и в	28	16
3	прежде всего	3	9
4	в этом	13	9
5	и только	2	9
6	и его	5	8
7	и с	6	8
8	точки зрения	2	8
9	не может	4	8
10	с его	5	7
11	сказать что	2	7
12	не только	11	7
13	и это	3	6
14	и к	2	6
15	с точки	2	6
16	самом деле	3	6
17	для него	5	6
18	при этом	11	6
19	я и	6	6
20	только для	2	5
21	отношение к	2	5
22	нуждается в	2	5
23	еще не	3	5
24	как бы	5	5
25	в нем	3	4
26	отнюдь не	2	4
27	но и	9	4
28	так и	8	4
29	все это	3	4
30	хотя бы	2	4
31	и все	7	4
32	мысли и	2	4
33	и не	18	4
34	как мы	2	4
35	и ее	3	4
36	можно сказать	6	4
37	с ними	3	4
38	и на	3	4
39	в этой	5	4
40	с ее	5	4
41	все что	3	4
42	только в	4	4
43	его в	2	4
44	но в	2	4
45	в его	11	4
46	мы знаем	2	3
47	в этих	3	3
48	что в	5	3
49	жизни и	6	3
50	вместе с	2	3
51	сих пор	2	3
52	в одном	3	3
53	к себе	3	3
54	те же	2	3
55	в том	15	3
56	а в	6	3
57	том что	19	3
58	с другими	3	3
59	то что	6	3
60	в основе	2	3
61	на этом	2	3
62	только на	5	3
63	едва ли	3	3
64	как это	7	3
65	в конечном	4	3
66	до сих	2	3
67	между ними	2	3
68	в голову	2	2
69	не менее	5	2
70	один из	2	2
71	что и	4	2
72	в душе	8	2
73	же как	2	2
74	не будет	2	2
75	конечном счете	3	2
76	в частности	7	2
77	никогда не	5	2
78	что не	2	2
79	в них	3	2
80	оно не	2	2
81	из этих	2	2
82	в жизни	8	2
83	то же	6	2
84	с нею	3	2
85	сводится к	6	2
86	что он	8	2
87	что на	3	2
88	у него	5	2
89	и для	2	2
90	для нас	3	2
91	как и	11	2
92	своей жизни	4	2
93	так же	3	2
94	мы уже	3	2
95	он не	4	2
96	есть и	3	2
97	говорить о	2	2
98	было бы	3	2
99	что это	5	2
100	о том	12	2
101	в самом	5	2
102	во сне	3	2
103	в своей	6	2
104	и о	4	2
105	с ним	7	2
106	себя и	2	2
