N	3gram	Vinokur_Ku_2	Myshleni
1	в том что	10	31
2	с точки зрения	8	11
3	в этом смысле	5	8
4	с другой стороны	7	8
5	в этом отношении	3	7
6	в самом деле	7	6
7	так же как	2	5
8	можно было бы	9	5
9	для того чтобы	8	5
10	на то что	2	4
11	с этой точки	2	4
12	этой точки зрения	2	4
13	точно так же	3	3
14	в этом случае	2	3
15	в связи с	3	3
16	во всяком случае	5	3
17	вместе с тем	2	3
18	то обстоятельство что	7	3
19	в этой области	4	2
20	в свое время	2	2
21	в свою очередь	2	2
22	только в том	2	2
23	в отличие от	2	2
