N	2gram	Losev_Dial_4	UchenyiS
1	и в	15	14
2	а не	18	10
3	не только	8	10
4	и не	30	8
5	прежде всего	11	8
6	то что	16	7
7	в этом	11	7
8	вот почему	3	7
9	не может	11	7
10	может быть	17	6
11	хотя бы	4	5
12	художественное произведение	2	5
13	все это	9	5
14	и только	2	5
15	то же	9	5
16	но и	4	4
17	в этой	4	4
18	в их	3	4
19	конечно не	2	4
20	что такое	5	4
21	но в	3	3
22	как и	7	3
23	и то	3	3
24	все же	2	3
25	в своей	3	3
26	в частности	2	3
27	для этого	2	3
28	то ни	4	3
29	же время	6	3
30	другой стороны	2	3
31	это не	12	3
32	в то	6	3
33	не как	4	3
34	было бы	9	3
35	в области	3	3
36	не о	4	3
37	у нас	3	3
38	тех или	4	2
39	том что	10	2
40	в том	11	2
41	мы не	9	2
42	с его	5	2
43	не есть	40	2
44	крайней мере	7	2
45	не в	8	2
46	и для	5	2
47	но это	4	2
48	бы и	3	2
49	должна быть	7	2
50	этом смысле	4	2
51	если бы	6	2
52	только в	7	2
53	и с	4	2
54	тем что	2	2
55	при таком	2	2
56	могут быть	3	2
57	даже и	3	2
58	что он	7	2
59	мы получаем	2	2
60	в себе	8	2
61	как раз	4	2
62	что мы	7	2
63	что все	4	2
64	еще ничего	2	2
65	ни от	2	2
66	в самом	2	2
67	не могут	2	2
68	по себе	13	2
69	надо было	3	2
70	ничего не	17	2
71	для всех	3	2
72	а как	2	2
73	по крайней	7	2
74	что она	5	2
75	что и	6	2
76	в его	4	2
77	таким образом	5	2
78	это было	2	2
79	как таковой	5	2
