N	2gram	Medvedev_F_2	Poddanst
1	не только	9	17
2	и в	38	14
3	и не	20	12
4	в области	3	11
5	в этом	27	10
6	то же	6	9
7	в том	11	9
8	в качестве	2	9
9	но в	4	9
10	хотя бы	6	8
11	в пределах	12	8
12	же время	5	7
13	в то	5	7
14	только в	6	7
15	но и	13	6
16	в ней	6	6
17	было бы	6	6
18	с другой	3	5
19	не в	15	5
20	и пр	21	5
21	и о	2	5
22	может быть	23	5
23	в котором	2	4
24	то что	6	4
25	что в	7	4
26	если бы	5	4
27	не может	14	4
28	по себе	7	4
29	и к	4	4
30	а в	6	4
31	том что	2	4
32	как бы	4	4
33	сами по	2	3
34	в нем	13	3
35	и т	14	3
36	с тем	11	3
37	столь же	2	3
38	это не	2	3
39	т е	26	3
40	прежде всего	15	3
41	тем самым	2	3
42	для того	3	3
43	с точки	7	3
44	сводится к	5	3
45	мы не	3	3
46	и как	3	3
47	с ними	2	3
48	между тем	2	3
49	но не	2	3
50	могут быть	6	3
51	точки зрения	8	3
52	потому что	2	3
53	хотя и	3	3
54	и тем	2	2
55	не к	2	2
56	для них	3	2
57	именно в	5	2
58	во всех	5	2
59	отнюдь не	8	2
60	со стороны	2	2
61	все это	3	2
62	она ни	3	2
63	во всей	2	2
64	как раз	6	2
65	не столько	4	2
66	с этим	5	2
67	именно как	4	2
68	главным образом	3	2
69	еще более	5	2
70	и других	2	2
71	было в	2	2
72	в значительной	3	2
73	а не	6	2
74	того что	3	2
75	должно быть	2	2
76	в ее	2	2
77	говорить о	5	2
78	если в	3	2
79	является в	2	2
80	не было	6	2
81	из них	4	2
82	нужно было	2	2
83	в общем	5	2
84	например в	3	2
85	и это	2	2
86	в статье	4	2
87	не о	4	2
88	в его	10	2
89	и с	9	2
