N	2gram	Propp_Isto_3	Vvedenie
1	и т	16	42
2	т д	15	36
3	т е	16	35
4	и в	22	32
5	в том	9	31
6	в этом	17	30
7	может быть	11	26
8	том что	8	26
9	не только	14	22
10	таким образом	10	19
11	то что	7	16
12	потому что	3	15
13	так как	7	15
14	не может	4	14
15	в нем	9	13
16	о том	3	13
17	со стороны	3	13
18	того что	5	12
19	и не	12	12
20	представляет собой	3	12
21	в его	3	12
22	только в	4	12
23	как мы	8	11
24	в данном	4	11
25	что в	15	10
26	но в	10	9
27	и как	3	9
28	между тем	2	9
29	то же	6	9
30	не менее	5	8
31	с другой	7	8
32	это не	6	8
33	тем не	5	8
34	не в	4	8
35	прежде всего	3	7
36	вопрос о	2	7
37	точки зрения	2	7
38	но не	7	7
39	было бы	3	7
40	все же	5	7
41	дело с	2	7
42	из этих	3	6
43	до сих	5	6
44	один из	5	6
45	но и	12	6
46	и даже	2	6
47	в то	2	6
48	его в	3	6
49	с тем	2	6
50	вовсе не	2	6
51	как и	3	6
52	в качестве	2	6
53	сих пор	5	6
54	а именно	4	6
55	и его	4	6
56	этот вопрос	2	6
57	тем что	4	6
58	и это	2	6
59	иное как	3	5
60	так что	5	5
61	в целом	3	5
62	данном случае	3	5
63	другой стороны	7	5
64	одним из	4	5
65	в которых	2	5
66	сказать что	3	5
67	в них	6	5
68	есть и	5	5
69	вместе с	9	5
70	в течение	6	5
71	а не	6	5
72	что не	2	5
73	могут быть	5	5
74	представляют собой	4	5
75	независимо от	2	4
76	связана с	3	4
77	этом случае	5	4
78	особого рода	3	4
79	одной стороны	2	4
80	всяком случае	2	4
81	в котором	2	4
82	по отношению	2	4
83	в особенности	2	4
84	с одной	2	4
85	и что	2	4
86	не имеет	2	4
87	а в	6	4
88	что иное	3	4
89	как это	4	4
90	мы имеем	19	4
91	должен был	3	4
92	что он	9	4
93	не что	3	4
94	еще не	10	4
95	отношению к	2	4
96	в виде	2	4
97	уже не	7	4
98	и для	2	4
99	той же	2	4
100	и то	2	4
101	во всяком	2	4
102	и ее	3	4
103	и есть	2	3
104	в частности	5	3
105	в этих	11	3
106	раньше чем	3	3
107	можно сказать	2	3
108	к тому	3	3
109	да и	2	3
110	но все	2	3
111	в этой	5	3
112	на этом	4	3
113	при этом	2	3
114	хотя и	2	3
115	в ней	2	3
116	не вполне	6	3
117	то это	2	3
118	к нему	5	3
119	и уже	2	3
120	мы видели	13	3
121	отношение к	4	3
122	из них	7	3
123	на том	3	3
124	что она	5	3
125	в своем	2	3
126	все эти	4	3
127	и вот	2	3
128	так же	3	3
129	и на	4	3
130	в работе	2	3
131	при помощи	3	3
132	на нее	3	3
133	если бы	6	3
134	к этому	7	3
135	стороны и	3	3
136	и к	3	3
137	связи с	6	3
138	в чем	3	3
139	в одном	2	3
140	а также	2	3
141	что и	9	3
142	вот почему	2	3
143	как будто	2	3
144	как только	2	2
145	это делает	2	2
146	все время	2	2
147	же как	2	2
148	и другие	4	2
149	никогда не	3	2
150	точно так	2	2
151	как следует	2	2
152	с изучением	2	2
153	это еще	2	2
154	в дальнейшем	4	2
155	но это	3	2
156	имеет свою	3	2
157	и др	2	2
158	после этого	2	2
159	в связи	3	2
160	не было	2	2
161	стоит в	2	2
162	этих случаях	7	2
163	не мог	2	2
164	есть только	2	2
165	и с	4	2
166	и так	2	2
167	с этим	8	2
168	он и	3	2
169	и здесь	7	2
170	так и	2	2
171	для них	3	2
172	уже знаем	2	2
173	от которых	2	2
174	состоит в	3	2
175	дать ответ	2	2
176	не с	2	2
177	у нас	4	2
178	мы должны	7	2
179	жизни и	2	2
180	мы уже	6	2
181	себе и	2	2
182	в этот	2	2
183	для нее	2	2
184	с ней	6	2
185	быть и	3	2
186	только на	2	2
187	из того	2	2
188	в силу	2	2
189	мы можем	6	2
190	в другом	2	2
191	здесь не	3	2
192	одна из	2	2
193	а если	3	2
194	ничего не	6	2
195	если это	3	2
