N	2gram	Tiupa_Vved_1	VelikijI
1	и не	12	20
2	и в	13	16
3	то что	6	9
4	еще не	7	8
5	а не	15	7
6	в мире	8	5
7	хотя и	7	5
8	как бы	4	5
9	но и	19	5
10	того что	6	5
11	в нем	5	4
12	как и	11	4
13	все что	3	4
14	что мы	2	4
15	в котором	8	4
16	так и	8	4
17	потому что	5	4
18	в этом	21	4
19	в ней	4	4
20	говорить о	2	4
21	и все	4	4
22	в его	4	4
23	должна быть	2	3
24	что в	3	3
25	в этих	3	3
26	в них	2	3
27	в жизни	4	3
28	в том	10	3
29	не в	6	3
30	но это	3	3
31	к тому	6	3
32	во всех	2	3
33	никогда не	4	3
34	что и	2	3
35	жизни и	7	3
36	в своей	5	3
37	бы и	4	3
38	не было	2	3
39	лишь в	2	3
40	не имеет	2	3
41	и для	3	3
42	их в	2	3
43	но в	6	3
44	тот кто	2	2
45	это не	6	2
46	прежде всего	7	2
47	для нас	2	2
48	том что	7	2
49	а к	3	2
50	мы и	2	2
51	одна из	4	2
52	но не	5	2
53	не к	4	2
54	для него	3	2
55	для них	3	2
56	когда в	2	2
57	вместо того	2	2
58	вслед за	2	2
59	не только	20	2
60	один из	3	2
61	не с	3	2
62	а с	2	2
63	все равно	2	2
64	тем что	2	2
65	мы не	4	2
66	уже не	5	2
67	а в	6	2
68	с ним	3	2
69	можно было	2	2
70	могут быть	4	2
71	только в	6	2
72	от этих	2	2
73	мира в	8	2
