N	2gram	Voloshinov_2	VelikijI
1	и не	19	20
2	и в	19	16
3	то что	4	9
4	так как	3	9
5	еще не	3	8
6	в истории	3	8
7	что они	2	7
8	и потому	2	7
9	а не	9	7
10	не есть	3	6
11	как бы	19	5
12	но и	10	5
13	того что	4	5
14	что он	4	4
15	в нем	11	4
16	как и	9	4
17	в котором	3	4
18	так и	10	4
19	что не	2	4
20	в этом	15	4
21	в ней	3	4
22	и все	6	4
23	в его	5	4
24	с его	8	3
25	должна быть	4	3
26	что в	2	3
27	в этих	3	3
28	в жизни	2	3
29	ни в	6	3
30	в том	7	3
31	не в	10	3
32	к тому	6	3
33	во всех	6	3
34	никогда не	7	3
35	что и	3	3
36	жизни и	2	3
37	в своей	3	3
38	тому что	4	3
39	не было	3	3
40	лишь в	14	3
41	не имеет	3	3
42	хотя бы	6	3
43	и для	7	3
44	должно быть	3	3
45	от этого	2	3
46	все эти	3	3
47	но в	7	3
48	мы это	2	2
49	его и	3	2
50	это не	4	2
51	прежде всего	7	2
52	его к	2	2
53	да и	3	2
54	том что	10	2
55	одна из	7	2
56	от него	2	2
57	но не	2	2
58	не к	3	2
59	конечно не	4	2
60	для него	9	2
61	того чтобы	6	2
62	не только	13	2
63	значения и	3	2
64	не с	2	2
65	не будет	3	2
66	нем нет	2	2
67	в форме	5	2
68	и тогда	2	2
69	а с	2	2
70	тем что	2	2
71	мы не	2	2
72	не так	2	2
73	а в	3	2
74	и то	3	2
75	между тем	6	2
76	является в	2	2
77	могут быть	3	2
78	только в	8	2
79	и это	3	2
80	во всяком	3	2
