N	2gram	Vygotskiy__2	Dialekti
1	и не	7	30
2	и есть	2	19
3	а не	3	18
4	может быть	9	17
5	ничего не	3	17
6	то что	20	16
7	и в	15	15
8	стало быть	2	15
9	как бы	7	14
10	не имеет	4	14
11	так как	4	14
12	точки зрения	26	14
13	что это	6	13
14	это есть	2	13
15	того что	17	13
16	по себе	7	13
17	это не	5	12
18	прежде всего	4	11
19	в том	33	11
20	не может	9	11
21	говорить о	2	11
22	и все	3	11
23	в этом	19	11
24	с ее	2	10
25	в основе	3	10
26	потому что	7	10
27	том что	27	10
28	было бы	10	9
29	в виду	6	9
30	все это	4	9
31	мы не	10	9
32	и что	8	9
33	то же	5	9
34	с точки	18	9
35	ни в	2	8
36	не в	8	8
37	в себе	2	8
38	не только	15	8
39	и ее	3	8
40	и это	3	8
41	что в	14	7
42	что именно	3	7
43	и мы	2	7
44	что оно	4	7
45	что мы	9	7
46	что он	12	7
47	как и	6	7
48	и его	4	7
49	или в	3	7
50	и вообще	2	7
51	только в	4	7
52	перед нами	2	6
53	и тем	2	6
54	и даже	5	6
55	в результате	3	6
56	сказать что	6	6
57	вовсе не	6	6
58	если бы	8	6
59	тем более	3	6
60	что и	2	6
61	как только	2	5
62	сама по	2	5
63	так и	8	5
64	в своем	9	5
65	на то	6	5
66	же это	2	5
67	можно сказать	2	5
68	и можно	2	5
69	но что	2	5
70	того чтобы	12	5
71	но если	2	5
72	что она	3	5
73	таким образом	14	5
74	именно в	2	5
75	о том	9	5
76	мы имеем	3	5
77	с его	4	5
78	тогда когда	5	5
79	в сущности	9	5
80	только тогда	2	5
81	в себя	2	5
82	если мы	6	5
83	для того	10	5
84	и для	2	5
85	той же	2	5
86	что все	4	4
87	и как	2	4
88	в этой	6	4
89	что они	3	4
90	но и	10	4
91	так же	4	4
92	само по	2	4
93	также и	2	4
94	и с	4	4
95	той или	2	4
96	мы должны	6	4
97	в одном	2	4
98	отнюдь не	2	4
99	этом смысле	2	4
100	мы видим	4	4
101	с их	2	4
102	как раз	4	4
103	в течение	2	4
104	хотя бы	4	4
105	тому как	2	4
106	в силу	2	4
107	в его	2	4
108	подобно тому	2	4
109	только для	3	3
110	что если	2	3
111	в собственном	3	3
112	тем самым	3	3
113	и той	2	3
114	для всех	4	3
115	в их	2	3
116	ни чисто	2	3
117	все эти	3	3
118	с этим	3	3
119	в истории	6	3
120	что здесь	2	3
121	с ним	3	3
122	но в	6	3
123	от этого	2	3
124	в один	2	3
125	к этому	4	3
126	лежит в	3	3
127	об этом	3	3
128	когда она	2	3
129	мы уже	6	3
130	общего с	2	3
131	за пределы	2	3
132	в своей	4	3
133	со стороны	3	3
134	при помощи	4	3
135	когда он	3	3
136	бы и	3	3
137	как в	4	3
138	из которых	3	3
139	вот почему	3	3
140	в данном	3	3
141	мы можем	10	3
142	могут быть	2	3
143	едва ли	7	3
144	в противоположность	2	2
145	не могут	2	2
146	мы будем	3	2
147	в частности	6	2
148	в отношении	6	2
149	с этой	2	2
150	из этих	4	2
151	человека и	3	2
152	представление о	5	2
153	на все	2	2
154	вопрос о	5	2
155	что на	2	2
156	и само	2	2
157	собственном смысле	3	2
158	без всякого	2	2
159	но все	2	2
160	заключается в	8	2
161	не дает	2	2
162	в пользу	4	2
163	что с	5	2
164	и идеи	2	2
165	при этом	3	2
166	случае не	2	2
167	в самом	11	2
168	только его	2	2
169	никогда не	8	2
170	в котором	2	2
171	но мы	3	2
172	из них	3	2
173	и их	5	2
174	есть нечто	2	2
175	для этого	3	2
176	и только	3	2
177	от того	2	2
178	мы находим	6	2
179	лишь в	3	2
180	и по	3	2
181	должно быть	2	2
182	самое что	2	2
183	во всем	2	2
184	как это	6	2
185	понятие о	2	2
186	нисколько не	2	2
187	в них	4	2
188	сравнению с	5	2
189	как чистое	2	2
190	все же	4	2
191	со всей	4	2
192	в качестве	4	2
193	все что	5	2
194	бы ни	2	2
195	одной из	3	2
196	и из	2	2
197	видим в	2	2
198	нет и	2	2
199	по сравнению	5	2
200	во всех	2	2
201	вместе с	6	2
202	ее в	2	2
203	что же	2	2
204	находится в	2	2
205	и тогда	2	2
206	во всей	5	2
207	как нечто	2	2
208	того как	4	2
209	не объясняет	2	2
210	все равно	2	2
211	только что	3	2
212	во всяком	7	2
213	тем что	2	2
214	всей его	2	2
215	но для	2	2
216	и другое	2	2
217	что эта	6	2
218	это все	2	2
219	в которой	4	2
220	отличие от	3	2
