N	2gram	Bakhtin_KF_1	Myshleni
1	в том	6	42
2	том что	4	35
3	в процессе	2	27
4	точки зрения	12	24
5	в этом	14	24
6	в качестве	2	21
7	и в	24	20
8	что в	4	19
9	в основе	5	17
10	то же	5	16
11	то что	7	15
12	не только	5	15
13	мышления и	2	14
14	при этом	4	12
15	в их	8	12
16	потому что	2	12
17	может быть	45	12
18	в целом	10	11
19	в его	40	11
20	с точки	9	11
21	этого слова	2	11
22	того что	3	10
23	на основе	7	10
24	и то	2	10
25	в себе	21	10
26	только в	16	10
27	слова в	2	9
28	и как	2	9
29	но и	9	9
30	между тем	4	9
31	как и	5	9
32	что и	7	9
33	и не	26	8
34	и тем	3	8
35	тогда когда	3	8
36	этом смысле	3	8
37	было бы	8	8
38	как бы	9	7
39	в своей	10	7
40	самом деле	3	7
41	тем самым	4	7
42	а не	17	7
43	того чтобы	2	7
44	тем что	3	7
45	могут быть	3	7
46	не может	27	6
47	и на	3	6
48	его в	5	6
49	с тем	2	6
50	что он	2	6
51	никогда не	5	5
52	это не	10	5
53	если бы	8	5
54	и его	17	5
55	все же	5	5
56	и того	2	5
57	о том	3	5
58	так и	2	5
59	как в	2	5
60	для того	3	5
61	все эти	10	5
62	тому что	2	4
63	в своем	16	4
64	для нас	4	4
65	и только	6	4
66	в сознании	2	4
67	к этому	2	4
68	его к	2	4
69	по своему	3	4
70	в смысле	6	4
71	во всей	4	4
72	не в	12	4
73	и для	9	4
74	в области	2	4
75	не менее	3	3
76	в этой	2	3
77	себе и	3	3
78	от того	3	3
79	в виду	3	3
80	один из	2	3
81	со стороны	7	3
82	именно в	5	3
83	и других	2	3
84	должно быть	6	3
85	и когда	2	3
86	тем как	3	3
87	но в	5	3
88	отнюдь не	6	3
89	во всем	7	3
90	но не	12	3
91	со всеми	2	3
92	себя в	8	3
93	научного мышления	2	3
94	совершенно не	6	3
95	ни в	12	3
96	в виде	2	3
97	ничего общего	2	3
98	что эта	2	3
99	в чем	4	3
100	может не	2	2
101	место в	5	2
102	должна быть	4	2
103	в каждом	3	2
104	прежде всего	2	2
105	теории и	3	2
106	на нем	2	2
107	в свою	3	2
108	для него	8	2
109	что это	3	2
110	но для	2	2
111	в ней	3	2
112	в него	2	2
113	в нем	28	2
114	к нему	12	2
115	не по	4	2
116	смысле и	2	2
117	он имеет	2	2
118	здесь мы	4	2
119	действительности в	2	2
120	не имеет	5	2
121	а в	4	2
122	не знает	5	2
123	в данном	2	2
124	и здесь	7	2
125	но как	5	2
126	мы имеем	5	2
127	нисколько не	4	2
128	ясно что	3	2
129	и отношения	2	2
130	в действительном	6	2
131	еще не	4	2
132	мышления как	2	2
133	в современной	3	2
134	не есть	20	2
135	входит в	3	2
136	а с	2	2
137	если не	2	2
138	целом и	3	2
139	что этот	3	2
140	в каком	4	2
141	даны в	2	2
142	и т.д	2	2
143	как оно	2	2
144	и это	12	2
145	здесь не	3	2
146	едва ли	2	2
147	из него	3	2
