N	2gram	Tiupa_Disk_2	EvropaiC
1	в том	8	31
2	и в	16	24
3	том что	10	20
4	все эти	3	19
5	не может	9	18
6	то что	5	17
7	может быть	16	15
8	все же	6	15
9	точки зрения	4	13
10	в своем	5	12
11	в этом	16	12
12	все это	2	11
13	между тем	2	11
14	отношению к	4	10
15	как бы	4	10
16	по отношению	4	10
17	так и	9	10
18	при этом	17	9
19	в результате	2	9
20	как и	16	9
21	того же	2	9
22	что в	5	9
23	не в	3	8
24	и все	3	8
25	с точки	2	8
26	не менее	7	7
27	но и	11	7
28	и не	15	7
29	из этих	3	7
30	по своей	6	7
31	о том	4	7
32	что он	2	7
33	должна быть	2	6
34	с другой	5	6
35	в этой	4	6
36	как на	3	6
37	и на	5	6
38	еще не	6	6
39	что и	2	6
40	тогда как	11	6
41	в мире	11	6
42	только в	3	6
43	вместе с	2	6
44	именно в	2	5
45	столь же	3	5
46	в целом	2	5
47	другой стороны	2	5
48	и с	2	5
49	потому что	4	5
50	его в	3	5
51	но в	11	5
52	к этому	4	5
53	в то	5	5
54	в его	3	5
55	не только	10	5
56	и для	2	5
57	в себе	19	5
58	как будто	3	5
59	далеко не	2	5
60	никогда не	2	4
61	этом случае	2	4
62	что как	2	4
63	отношение к	2	4
64	из них	3	4
65	должно быть	2	4
66	и то	4	4
67	иначе говоря	3	4
68	он не	3	4
69	то же	6	4
70	а с	5	4
71	в области	2	4
72	же как	2	3
73	с одной	4	3
74	в этих	3	3
75	не подлежит	2	3
76	одного и	3	3
77	к которой	2	3
78	в нем	7	3
79	данном случае	6	3
80	и наконец	3	3
81	а в	2	3
82	это не	3	3
83	можно назвать	4	3
84	прежде всего	7	3
85	и того	3	3
86	и может	3	3
87	на почве	2	3
88	в данном	7	3
89	и это	2	3
90	отличие от	12	3
91	в частности	12	2
92	к своим	2	2
93	вследствие этого	2	2
94	что на	2	2
95	сводится к	2	2
96	для него	5	2
97	такой же	2	2
98	же время	5	2
99	одной стороны	4	2
100	ни для	4	2
101	в ней	2	2
102	в котором	3	2
103	с ее	2	2
104	заключает в	2	2
105	и состоит	2	2
106	гораздо менее	2	2
107	не следует	3	2
108	одно из	4	2
109	говорить о	2	2
110	не было	3	2
111	также и	3	2
112	то есть	12	2
113	в основе	4	2
114	отнюдь не	6	2
115	в них	3	2
116	же касается	2	2
117	на первый	2	2
118	а к	2	2
119	но не	7	2
120	жизни и	3	2
121	что же	2	2
122	однако при	3	2
123	в себя	2	2
124	тем самым	6	2
125	не более	2	2
126	и ее	3	2
127	в другом	3	2
128	не знает	3	2
129	есть в	2	2
