N	2gram	Losev_Dial_4	Hudozhes
1	и в	15	28
2	том что	10	19
3	в ее	2	18
4	и не	30	18
5	в том	11	15
6	а не	18	14
7	не в	8	13
8	в этом	11	13
9	о том	5	12
10	перед нами	6	11
11	как и	7	11
12	при этом	2	11
13	в его	4	11
14	не только	8	11
15	уже не	9	10
16	но и	4	9
17	в себе	8	9
18	в жизни	5	8
19	что он	7	8
20	может быть	17	8
21	себя в	2	8
22	так и	5	8
23	я не	5	7
24	и все	11	7
25	об этом	3	7
26	в частности	2	7
27	что она	5	7
28	с ним	3	7
29	как это	2	7
30	это не	12	6
31	можно сказать	5	6
32	в котором	2	6
33	то что	16	6
34	жизни и	4	6
35	в своей	3	6
36	если бы	6	6
37	то же	9	6
38	не было	2	6
39	и с	4	6
40	тем что	2	6
41	в то	6	6
42	с его	5	5
43	что это	13	5
44	не менее	2	5
45	в своем	5	5
46	как бы	14	5
47	как в	3	5
48	да и	2	5
49	с ее	10	5
50	в этой	4	5
51	что в	7	5
52	она не	4	5
53	в самом	2	5
54	никогда не	2	5
55	и его	7	5
56	ничего не	17	5
57	бы и	3	4
58	тем не	2	4
59	говорит о	3	4
60	то в	5	4
61	что они	4	4
62	в качестве	2	4
63	же время	6	4
64	для того	5	4
65	и о	8	4
66	для нее	2	4
67	что и	6	4
68	и уже	4	4
69	и т	17	4
70	как раз	4	4
71	то и	2	4
72	не может	11	4
73	того чтобы	5	4
74	подобно тому	4	4
75	как будто	2	4
76	только в	7	4
77	тому как	4	4
78	как только	5	3
79	бы не	2	3
80	в человеке	2	3
81	в них	2	3
82	в одном	4	3
83	человека и	2	3
84	что все	4	3
85	личности в	5	3
86	прежде всего	11	3
87	что было	2	3
88	в нем	5	3
89	и ее	8	3
90	что на	2	3
91	и тех	2	3
92	все что	2	3
93	как о	2	3
94	есть и	3	3
95	еще не	4	3
96	было бы	9	3
97	одной из	2	3
98	ни о	3	3
99	в ней	5	3
100	мы уже	3	3
101	со стороны	3	3
102	все это	9	3
103	едва ли	3	3
104	так же	4	3
105	или в	7	3
106	с ними	4	3
107	и на	5	3
108	и это	8	3
109	в основе	10	2
110	только для	3	2
111	прежде чем	2	2
112	только не	3	2
113	т е	46	2
114	себя и	3	2
115	отнюдь не	4	2
116	однако в	2	2
117	именно так	2	2
118	именно в	5	2
119	не как	4	2
120	из этих	2	2
121	вовсе не	6	2
122	а как	2	2
123	со всей	2	2
124	она в	3	2
125	личности с	3	2
126	когда же	2	2
127	что я	5	2
128	на этом	3	2
129	но именно	2	2
130	что не	3	2
131	того или	2	2
132	не по	2	2
133	же и	2	2
134	о нем	2	2
135	один из	4	2
136	оно не	2	2
137	это было	2	2
138	все же	2	2
139	не будет	2	2
140	как же	5	2
141	из них	2	2
142	ни с	4	2
143	вместе с	2	2
144	что же	2	2
145	и тогда	2	2
146	чего не	3	2
147	т д	15	2
148	того как	2	2
149	лишь в	2	2
150	тем самым	3	2
151	хотя бы	4	2
152	и для	5	2
153	с точки	9	2
154	той же	5	2
155	самое что	2	2
156	в данном	3	2
157	и то	3	2
158	сказать что	6	2
159	потому что	10	2
160	личности и	10	2
161	в виде	3	2
162	и об	3	2
163	точки зрения	14	2
164	что личность	2	2
165	говорить о	11	2
166	что даже	2	2
167	и только	2	2
168	нет ничего	6	2
169	та же	3	2
170	но в	3	2
171	тоже не	2	2
172	том как	2	2
