N	3gram	Vygotskiy__4	Freidism
1	с точки зрения	11	11
2	во всяком случае	3	7
3	в самом деле	6	6
4	в данном случае	2	4
5	как мы видели	2	4
6	как мы уже	3	4
7	в свою очередь	2	3
8	в следующей главе	2	3
9	и тот же	7	3
10	в собственном смысле	7	3
11	и той же	4	3
12	один и тот	7	3
13	одной и той	4	3
14	для того чтобы	5	3
15	с помощью которого	2	2
16	то же самое	7	2
17	не могут быть	2	2
18	с одной стороны	9	2
19	а с другой	2	2
20	мы видели что	2	2
21	в отличие от	2	2
22	в этом отношении	7	2
23	в высшей степени	2	2
