N	2gram	Medvedev_U_1	Komedia
1	и в	14	22
2	том что	2	12
3	в том	2	11
4	но и	4	11
5	не только	10	10
6	в то	3	10
7	как и	3	9
8	может быть	6	9
9	таким образом	2	8
10	и не	8	8
11	в этой	4	7
12	в конце	2	6
13	что он	2	6
14	то же	5	6
15	не в	2	6
16	с другой	4	5
17	прежде всего	8	5
18	в его	2	5
19	все это	5	5
20	другой стороны	3	5
21	между тем	2	5
22	в их	4	4
23	же время	3	4
24	что и	2	4
25	тем что	2	4
26	конце концов	2	4
27	но в	3	4
28	у нас	3	3
29	и у	2	3
30	в частности	3	3
31	все же	3	3
32	этом отношении	2	3
33	мы не	2	3
34	как раз	2	3
35	в этом	7	3
36	и с	2	3
37	могут быть	2	3
38	только в	2	3
39	ничего не	2	3
40	ни было	3	2
41	для всех	2	2
42	то ни	3	2
43	к сожалению	3	2
44	должна была	2	2
45	но не	2	2
46	до сих	2	2
47	было бы	3	2
48	в самом	2	2
49	то что	7	2
50	бы то	3	2
51	для этого	3	2
52	не может	7	2
53	нас в	2	2
54	но это	2	2
55	не следует	3	2
56	и формы	3	2
57	в себе	2	2
58	же самое	2	2
59	в области	3	2
60	сих пор	2	2
