N	2gram	Vinokur_St_2	KFilosof
1	может быть	2	43
2	в его	13	39
3	в нем	4	31
4	не может	2	27
5	и не	9	26
6	и в	29	22
7	в котором	7	21
8	в себе	2	21
9	в ее	2	17
10	а не	5	17
11	и его	6	17
12	только в	2	16
13	точки зрения	5	13
14	в этом	21	13
15	ни в	3	12
16	для него	4	12
17	но не	3	12
18	и это	2	12
19	все эти	2	11
20	в своей	7	11
21	не в	4	11
22	в своем	9	10
23	все это	11	10
24	с точки	2	10
25	но и	19	9
26	в их	3	9
27	как бы	5	9
28	не было	3	8
29	если бы	2	8
30	было бы	5	8
31	со стороны	2	8
32	и здесь	3	7
33	вовсе не	6	7
34	что и	2	7
35	то что	11	7
36	я не	7	6
37	и я	2	6
38	в том	27	6
39	но это	3	6
40	совершенно не	2	6
41	он не	9	6
42	никогда не	3	5
43	хотя бы	3	5
44	то же	2	5
45	его как	2	5
46	но все	7	5
47	от его	2	5
48	именно в	4	5
49	не имеет	2	5
50	его в	2	5
51	но в	8	5
52	как и	2	5
53	что я	2	5
54	не только	19	5
55	все же	6	5
56	там где	2	5
57	времени и	4	4
58	что в	19	4
59	ни было	2	4
60	при этом	2	4
61	не по	2	4
62	между тем	5	4
63	в одном	6	4
64	том что	27	4
65	в каком	2	4
66	где я	2	4
67	что это	3	3
68	не менее	3	3
69	из его	2	3
70	не дает	2	3
71	до конца	3	3
72	и пр	8	3
73	в виду	7	3
74	нигде не	2	3
75	того что	5	3
76	где он	2	3
77	и на	6	3
78	в ней	7	3
79	в то	2	3
80	о том	17	3
81	меня в	2	3
82	не должен	2	3
83	по своему	2	3
84	нет и	2	3
85	на самом	3	3
86	самом деле	3	3
87	для того	7	3
88	только с	2	3
89	что этот	2	3
90	тем что	3	3
91	в другом	4	3
92	ничего не	4	3
93	а с	3	2
94	то ни	2	2
95	прежде всего	5	2
96	вопрос о	6	2
97	тем не	2	2
98	и как	2	2
99	только по	2	2
100	другое дело	3	2
101	по себе	3	2
102	тому что	7	2
103	ни у	3	2
104	что за	2	2
105	на первом	2	2
106	потому что	9	2
107	а как	4	2
108	с его	2	2
109	с тем	7	2
110	из нее	3	2
111	что эта	3	2
112	к этому	4	2
113	что он	13	2
114	конечно в	2	2
115	даны в	2	2
116	бы то	2	2
117	в качестве	5	2
118	в это	2	2
119	кажется что	3	2
120	и потому	2	2
121	дело не	2	2
122	оно не	3	2
123	и именно	3	2
124	в процессе	2	2
125	так и	9	2
126	как в	3	2
127	если не	2	2
128	еще более	4	2
129	того чтобы	6	2
130	в данном	2	2
131	в этой	2	2
132	отношении к	3	2
133	дело в	4	2
134	не потому	2	2
135	в области	2	2
