N	2gram	Bakhtin_Pr_4	Analitik
1	не только	14	22
2	и в	46	18
3	как и	12	14
4	так и	4	14
5	в этом	16	14
6	но и	12	13
7	и его	6	13
8	том что	4	12
9	и не	27	12
10	при этом	5	11
11	а в	2	10
12	как бы	19	10
13	то есть	40	10
14	может быть	23	9
15	что в	4	9
16	а не	11	9
17	в том	9	9
18	с его	5	8
19	в первой	2	8
20	своего рода	4	8
21	и даже	3	8
22	с другой	3	7
23	но не	4	7
24	в его	9	7
25	отношению к	5	7
26	как раз	7	7
27	по отношению	5	7
28	к тому	2	6
29	не в	10	6
30	для него	2	6
31	еще не	7	6
32	в этой	3	6
33	он не	4	6
34	в их	4	6
35	о том	5	6
36	никогда не	6	5
37	в конце	3	5
38	прежде всего	9	5
39	или иной	2	5
40	того же	3	5
41	как нам	2	5
42	в самом	9	5
43	что и	3	5
44	в мире	3	5
45	и т.п	14	5
46	другой стороны	3	5
47	в сущности	7	5
48	лишь в	2	5
49	уже не	4	5
50	той же	3	5
51	в слове	3	5
52	в результате	2	5
53	между тем	2	5
54	мы имеем	3	5
55	не менее	2	4
56	перед нами	12	4
57	в своем	3	4
58	в одном	11	4
59	по себе	7	4
60	что он	6	4
61	можно сказать	4	4
62	и к	9	4
63	и как	2	4
64	себя в	3	4
65	в пределах	10	4
66	и сам	5	4
67	все же	4	4
68	приводит к	4	4
69	таким образом	4	4
70	и на	11	4
71	в данном	2	4
72	далеко не	3	4
73	героя и	4	4
74	уже в	4	3
75	в каждом	6	3
76	из этих	3	3
77	у пушкина	2	3
78	его как	2	3
79	было бы	3	3
80	же время	5	3
81	указывает на	2	3
82	во сне	2	3
83	той или	2	3
84	если в	2	3
85	к жизни	2	3
86	с ее	3	3
87	как в	4	3
88	все это	6	3
89	так в	2	3
90	то же	6	3
91	не было	2	3
92	еще и	4	3
93	мы не	4	3
94	ничего не	2	3
95	здесь и	3	3
96	с этим	2	3
97	точки зрения	11	3
98	он и	4	3
99	во всем	4	3
100	в то	5	3
101	жизнь и	3	3
102	ко второму	2	3
103	в произведении	2	3
104	здесь не	4	3
105	вступить в	2	2
106	сама по	2	2
107	бы и	2	2
108	могут быть	2	2
109	все эти	4	2
110	это не	5	2
111	не как	3	2
112	всякое высказывание	2	2
113	о себе	5	2
114	в жизни	5	2
115	себе самому	4	2
116	с нею	2	2
117	в нем	17	2
118	на два	3	2
119	о которых	2	2
120	да и	4	2
121	в романе	6	2
122	с самим	5	2
123	одна из	2	2
124	в большинстве	9	2
125	в общем	2	2
126	совершенно не	4	2
127	например в	4	2
128	хотя и	6	2
129	об этом	2	2
130	свое время	2	2
131	по своей	3	2
132	только к	2	2
133	нам кажется	5	2
134	то что	4	2
135	когда он	2	2
136	во всех	5	2
137	вместе с	2	2
138	не может	19	2
139	в отличие	3	2
140	отношения к	2	2
141	но с	2	2
142	те же	2	2
143	в себя	4	2
144	в той	3	2
145	самом деле	4	2
146	с точки	9	2
147	и он	6	2
148	и по	2	2
149	и для	3	2
150	сказать что	2	2
151	во всяком	2	2
152	мы можем	4	2
153	тем что	3	2
154	на себя	4	2
155	в себе	7	2
156	и здесь	4	2
157	что мы	2	2
158	только в	6	2
159	и т.д	3	2
160	этого слова	2	2
161	и все	9	2
162	в свое	2	2
163	дело в	3	2
164	так сказать	5	2
165	там где	2	2
166	отличие от	3	2
167	но в	6	2
