N	2gram	Nazirov_Tr_1	Vvedenie
1	и в	18	32
2	в том	2	31
3	в этом	9	30
4	может быть	7	26
5	том что	4	26
6	не только	8	22
7	то что	4	16
8	потому что	2	15
9	не может	5	14
10	в самом	2	13
11	в нем	4	13
12	о том	2	13
13	и не	7	12
14	в его	3	12
15	в ее	2	11
16	в данном	2	11
17	что в	4	10
18	но в	6	9
19	и как	3	9
20	то же	5	9
21	это не	5	8
22	не в	2	8
23	прежде всего	4	7
24	вопрос о	2	7
25	все же	5	7
26	не могут	2	6
27	же время	6	6
28	один из	3	6
29	но и	4	6
30	все это	4	6
31	и даже	4	6
32	в то	5	6
33	его в	2	6
34	с тем	2	6
35	как и	5	6
36	и его	6	6
37	тем что	2	6
38	и это	2	6
39	уже в	3	5
40	так что	2	5
41	как бы	7	5
42	в целом	4	5
43	а как	2	5
44	данном случае	2	5
45	об этом	4	5
46	о чем	3	4
47	не просто	2	4
48	и что	4	4
49	не имеет	2	4
50	в первом	2	4
51	как это	3	4
52	что он	6	4
53	еще не	4	4
54	в виде	2	4
55	уже не	2	4
56	и то	2	4
57	и ее	2	4
58	в себе	4	4
59	он сам	7	3
60	что это	5	3
61	в частности	2	3
62	в конце	3	3
63	бы и	2	3
64	к тому	2	3
65	в известной	2	3
66	но все	2	3
67	в этой	4	3
68	что с	3	3
69	до конца	2	3
70	при этом	3	3
71	к нему	3	3
72	отношение к	2	3
73	что она	2	3
74	в своем	3	3
75	все эти	3	3
76	так же	4	3
77	и на	7	3
78	говорит о	2	3
79	в одном	2	3
80	что и	2	3
81	своего рода	3	3
82	времени в	2	3
83	как будто	3	3
84	это уже	2	2
85	никогда не	2	2
86	точно так	2	2
87	в дальнейшем	5	2
88	но это	4	2
89	и сам	3	2
90	несмотря на	5	2
91	мог бы	3	2
92	не мог	2	2
93	должно быть	3	2
94	и с	7	2
95	он и	2	2
96	и здесь	2	2
97	так и	5	2
98	и до	2	2
99	вряд ли	2	2
100	еще раз	2	2
101	одна из	2	2
102	ничего не	2	2
