N	2gram	Medvedev_U_1	Vladivir
1	и в	14	40
2	то что	7	28
3	и не	8	25
4	не только	10	25
5	но и	4	18
6	в том	2	18
7	том что	2	18
8	в этом	7	16
9	в его	2	14
10	не может	7	14
11	только в	2	13
12	даже и	2	12
13	в конце	2	12
14	таким образом	2	11
15	прежде всего	8	10
16	не есть	2	10
17	как раз	2	10
18	и с	2	9
19	и то	3	9
20	в своей	3	9
21	в себе	2	9
22	в этой	4	8
23	для него	3	8
24	может быть	6	8
25	а не	10	8
26	что все	2	7
27	в то	3	7
28	что и	2	7
29	как и	3	7
30	по себе	2	6
31	если не	2	6
32	хотя бы	5	6
33	но это	2	6
34	с другой	4	5
35	что он	2	5
36	у нас	3	5
37	конце концов	2	5
38	тем что	2	5
39	ничего не	2	5
40	но даже	2	4
41	в самом	2	4
42	бы и	2	4
43	по существу	2	4
44	но не	2	4
45	было бы	3	4
46	то же	5	4
47	все же	3	4
48	но в	3	4
49	то ни	3	3
50	это не	3	3
51	бы то	3	3
52	и только	5	3
53	не столько	2	3
54	же самое	2	3
55	сводится к	2	3
56	в россии	4	3
57	если бы	2	3
58	этом смысле	2	3
59	не все	2	3
60	и у	2	3
61	не в	2	3
62	и для	2	3
63	это было	2	3
64	не могут	2	2
65	должна быть	2	2
66	в сторону	2	2
67	все они	2	2
68	мы и	2	2
69	же время	3	2
70	не о	3	2
71	что она	2	2
72	в их	4	2
73	другой стороны	3	2
74	этом отношении	2	2
75	что мы	2	2
76	сколько угодно	2	2
77	с его	2	2
78	а о	2	2
79	не как	3	2
80	на первый	2	2
81	нам представляется	2	2
82	только к	3	2
83	мы не	2	2
84	является в	2	2
85	же не	2	2
