N	2gram	Propp_Morf_1	Narrotol
1	не только	4	26
2	а не	11	17
3	представляет собой	17	16
4	но и	4	15
5	тогда как	2	15
6	в том	6	14
7	в качестве	5	14
8	и не	12	14
9	том что	4	13
10	и в	13	13
11	в этом	14	13
12	состоит в	2	12
13	в частности	2	11
14	только в	2	11
15	может быть	52	10
16	к тому	4	9
17	так и	6	9
18	а в	7	9
19	то что	8	8
20	не может	14	8
21	не в	3	8
22	прежде всего	9	6
23	можно сказать	2	6
24	и к	4	6
25	вслед за	5	6
26	того что	3	6
27	со стороны	3	6
28	героя в	4	6
29	все же	7	6
30	как бы	3	6
31	а также	4	6
32	ничего не	4	6
33	но в	2	6
34	точки зрения	2	5
35	тем не	5	5
36	что он	4	5
37	хотя и	3	5
38	он не	3	5
39	и тем	2	5
40	отношению к	4	5
41	на него	3	5
42	как в	3	5
43	в форме	6	5
44	по отношению	4	5
45	таким образом	21	5
46	с другой	8	5
47	в то	3	5
48	далеко не	5	5
49	о том	2	5
50	перед нами	10	4
51	не менее	5	4
52	если бы	2	4
53	об этом	4	4
54	же в	2	4
55	как и	3	4
56	что в	8	4
57	не является	3	4
58	то же	7	4
59	в какой	3	4
60	уже не	2	4
61	в другом	2	4
62	в этой	2	4
63	как это	3	4
64	с его	2	3
65	тому что	4	3
66	мы имеем	9	3
67	это не	6	3
68	в итоге	2	3
69	о герое	3	3
70	что они	2	3
71	одна из	4	3
72	но не	4	3
73	один из	5	3
74	в целом	3	3
75	между собой	4	3
76	все эти	2	3
77	самом деле	4	3
78	того чтобы	3	3
79	и по	2	3
80	и для	2	3
81	сказать что	2	3
82	между тем	5	3
83	действующих лиц	11	3
84	можно назвать	3	2
85	а то	3	2
86	однако в	2	2
87	в нашем	3	2
88	хотя бы	4	2
89	как уже	2	2
90	вовсе не	4	2
91	и здесь	5	2
92	на то	2	2
93	для нас	2	2
94	и т	41	2
95	в начале	3	2
96	по своему	2	2
97	еще не	3	2
98	было бы	3	2
99	несмотря на	4	2
100	не происходит	3	2
101	но для	2	2
102	в обоих	2	2
103	что она	2	2
104	оно не	2	2
105	не все	6	2
106	что и	7	2
107	он может	2	2
108	же она	2	2
109	за которым	2	2
110	в других	3	2
111	а с	2	2
112	у нас	2	2
113	на самом	4	2
114	и что	2	2
115	только что	2	2
116	с точки	2	2
117	не имеет	2	2
118	так же	3	2
119	мы не	8	2
120	можно было	2	2
121	тому как	5	2
122	но это	6	2
123	в результате	7	2
124	в виде	2	2
125	подобно тому	6	2
126	говорить о	3	2
127	во время	6	2
128	представляют собой	11	2
129	здесь не	2	2
130	потому что	3	2
