N	2gram	Berdyaev_M_2	VLabPisa
1	в этом	20	26
2	и в	46	25
3	не только	18	22
4	может быть	21	21
5	хотя бы	7	20
6	и не	18	19
7	т е	4	17
8	не может	15	17
9	в его	5	15
10	прежде всего	12	13
11	в том	3	13
12	о том	3	10
13	что в	4	9
14	для него	18	9
15	но и	15	9
16	то же	5	9
17	в своем	8	8
18	как и	13	7
19	том что	4	7
20	отношению к	2	7
21	во всех	2	7
22	вместе с	2	7
23	по отношению	2	7
24	не было	11	7
25	а не	13	7
26	у него	22	6
27	это не	5	6
28	в себе	10	6
29	идеи и	3	6
30	это и	3	6
31	то что	5	6
32	в нем	22	6
33	так и	4	6
34	бы и	5	6
35	и его	5	6
36	между тем	2	6
37	тому что	4	5
38	он же	3	5
39	связи с	2	5
40	и есть	8	5
41	как бы	8	5
42	один из	5	5
43	сказать что	3	5
44	только в	3	5
45	не в	9	5
46	к тому	5	4
47	никогда не	18	4
48	что все	5	4
49	что он	7	4
50	с его	4	4
51	в своей	5	4
52	в самом	5	4
53	должен быть	4	4
54	в них	3	4
55	вот почему	2	4
56	в этой	7	4
57	и к	7	3
58	и мир	2	3
59	и от	3	3
60	в конце	5	3
61	человека и	7	3
62	момент в	3	3
63	у нас	11	3
64	что они	3	3
65	в творчестве	3	3
66	что не	2	3
67	со своим	2	3
68	и он	11	3
69	его в	3	3
70	что и	4	3
71	жизни и	6	3
72	ее в	2	3
73	того что	6	3
74	так же	6	3
75	его не	2	3
76	точки зрения	2	3
77	она не	8	3
78	в дневнике	2	3
79	бы в	2	3
80	он сам	6	2
81	в каждом	3	2
82	можно ли	3	2
83	связана с	7	2
84	не всегда	2	2
85	в жизни	4	2
86	по себе	2	2
87	было в	3	2
88	или иной	2	2
89	анны карениной	2	2
90	до сих	3	2
91	и потому	7	2
92	но для	2	2
93	как у	2	2
94	они и	4	2
95	смысле слова	3	2
96	мысль о	2	2
97	для того	5	2
98	если бы	3	2
99	в ней	11	2
100	что она	5	2
101	ни одного	2	2
102	сих пор	3	2
103	этот процесс	2	2
104	от того	3	2
105	и достоевский	8	2
106	бы не	2	2
107	а в	2	2
108	но с	2	2
109	достоевского и	2	2
110	человека в	14	2
111	чтобы не	3	2
112	того чтобы	4	2
113	должны быть	4	2
114	и для	7	2
115	у них	4	2
116	можно было	2	2
117	тому как	2	2
118	в своих	3	2
119	также и	4	2
120	хотя и	2	2
121	лишь в	2	2
122	не о	2	2
123	он в	3	2
124	ума и	4	2
125	он не	10	2
126	подобно тому	2	2
127	они не	4	2
128	самого себя	4	2
129	от его	2	2
130	как он	3	2
131	которые в	2	2
132	в образе	3	2
133	в чем	3	2
134	в которой	2	2
135	же как	3	2
136	тогда когда	2	2
137	нет ни	2	2
138	но в	10	2
139	а для	2	2
140	что нет	3	2
