N	3gram	Savitsky_E_1	Psycholo
1	для того чтобы	5	19
2	на то что	2	16
3	в том что	6	14
4	с одной стороны	8	12
5	заключается в том	2	6
6	с другой стороны	2	5
7	по сравнению с	2	4
8	заключает в себе	3	4
9	в этом отношении	3	3
10	из того что	2	3
11	можно было бы	3	3
12	друг с другом	3	3
13	можно сказать что	3	2
14	друг от друга	2	2
15	в данном случае	2	2
16	той или иной	4	2
17	так же как	5	2
18	то что в	2	2
19	с точки зрения	16	2
20	не может быть	2	2
21	не только в	4	2
22	само по себе	4	2
23	по себе не	2	2
