N	2gram	Berdyaev_M_2	Myshleni
1	в том	3	33
2	том что	4	27
3	точки зрения	2	26
4	то что	5	20
5	в этом	20	19
6	того что	6	17
7	и в	46	15
8	не только	18	15
9	что в	4	14
10	что он	7	12
11	того чтобы	4	12
12	в самом	5	11
13	но и	15	10
14	для того	5	10
15	в своем	8	9
16	может быть	21	9
17	не может	15	9
18	о том	3	9
19	в сущности	2	9
20	связи с	2	9
21	так и	4	8
22	никогда не	18	8
23	не в	9	8
24	и что	2	8
25	если бы	3	8
26	к тому	5	7
27	высшей степени	3	7
28	и не	18	7
29	в высшей	3	7
30	потому что	12	7
31	как бы	8	7
32	по себе	2	7
33	тот же	2	7
34	он не	10	7
35	что это	6	6
36	в отношении	5	6
37	в этой	7	6
38	по отношению	2	6
39	сказать что	3	6
40	как он	3	6
41	но в	10	6
42	и к	7	6
43	как и	13	6
44	по своей	3	6
45	вместе с	2	6
46	с таким	2	6
47	мысль что	4	6
48	к которому	3	6
49	это не	5	5
50	уже в	2	5
51	вопрос о	6	5
52	смысле слова	3	5
53	друг друга	12	5
54	тогда когда	2	5
55	все что	4	5
56	отношению к	2	5
57	то же	5	5
58	говорит что	2	5
59	можно было	2	5
60	на деле	4	5
61	связана с	7	4
62	прежде всего	12	4
63	что все	5	4
64	от его	2	4
65	в них	3	4
66	не имеет	4	4
67	так же	6	4
68	а в	2	4
69	и с	3	4
70	так как	8	4
71	с его	4	4
72	мы видим	2	4
73	в своей	5	4
74	как в	7	4
75	того как	3	4
76	хотя бы	7	4
77	и его	5	4
78	только в	3	4
79	в которой	2	4
80	он сам	6	3
81	все время	2	3
82	но на	2	3
83	для этого	4	3
84	что у	4	3
85	человека и	7	3
86	что они	3	3
87	для него	18	3
88	те же	5	3
89	но эта	2	3
90	они не	4	3
91	лишь в	2	3
92	с собой	2	3
93	в основе	2	3
94	с ним	3	3
95	и все	5	3
96	не существует	3	3
97	бы и	5	3
98	что она	5	3
99	во власти	6	3
100	а не	13	3
101	вот почему	2	3
102	не надо	2	3
103	он в	3	3
104	и это	5	3
105	ничего не	2	3
106	чем в	2	2
107	быть может	2	2
108	же как	3	2
109	и есть	8	2
110	в этих	2	2
111	он открывает	2	2
112	на все	3	2
113	в такой	3	2
114	или иной	2	2
115	и можно	3	2
116	ни в	3	2
117	это есть	2	2
118	человека к	8	2
119	как у	2	2
120	и той	2	2
121	и самого	3	2
122	его с	2	2
123	от того	3	2
124	и других	2	2
125	должно быть	2	2
126	увидим что	2	2
127	то он	2	2
128	но для	2	2
129	в более	2	2
130	к себе	2	2
131	также и	4	2
132	во всем	5	2
133	от этого	2	2
134	у него	22	2
135	были бы	2	2
136	мы увидим	2	2
137	к ней	2	2
138	в его	5	2
139	должен быть	4	2
140	что и	4	2
141	ее в	2	2
142	принадлежит к	2	2
143	во всех	2	2
144	и тогда	3	2
145	что же	2	2
146	и для	7	2
147	все равно	3	2
148	но с	2	2
149	есть ли	2	2
150	жизни он	3	2
151	и эта	2	2
152	к чему	4	2
153	для человека	3	2
154	той же	3	2
155	у них	4	2
156	тому как	2	2
157	нас в	2	2
158	тем что	3	2
159	подобно тому	2	2
160	в себе	10	2
161	это все	2	2
162	много раз	2	2
