N	2gram	Savitsky_P_1	Hudozhes
1	том что	4	16
2	и в	14	14
3	а не	2	12
4	в том	9	12
5	не только	17	12
6	прежде всего	3	11
7	и т	3	11
8	в этом	10	11
9	в себе	3	11
10	в качестве	9	9
11	то же	9	9
12	то что	4	8
13	же время	7	8
14	между тем	3	8
15	в то	7	8
16	в его	2	8
17	быть может	6	7
18	это не	3	7
19	не в	5	7
20	как бы	4	7
21	не может	4	7
22	именно в	2	7
23	а в	4	7
24	что в	4	6
25	было бы	6	6
26	не менее	2	5
27	в частности	2	5
28	может быть	5	5
29	только в	7	5
30	но и	6	5
31	потому что	3	5
32	точки зрения	3	5
33	но в	9	5
34	в своем	4	4
35	т е	3	4
36	столь же	3	4
37	с с	2	4
38	и к	4	4
39	и о	5	4
40	в ней	6	4
41	из них	2	4
42	как раз	2	4
43	не было	2	4
44	того что	2	4
45	в русской	4	4
46	и это	2	4
47	и с	2	4
48	но не	3	3
49	если бы	4	3
50	отнюдь не	2	3
51	с этим	2	3
52	же в	4	3
53	в мире	2	3
54	в ее	2	3
55	говорить о	2	3
56	в пределах	8	3
57	в нем	3	3
58	со стороны	2	3
59	с точки	3	3
60	а также	4	3
61	может и	2	3
62	если в	2	2
63	тех кто	4	2
64	не столько	2	2
65	в тот	2	2
66	и потому	4	2
67	по себе	4	2
68	не нужно	2	2
69	да и	2	2
70	одна из	2	2
71	первой половины	4	2
72	например в	2	2
73	в начале	2	2
74	л а	2	2
75	никак не	2	2
76	хотя и	3	2
77	н а	10	2
78	в е	2	2
79	все это	2	2
80	заключает в	2	2
81	и не	12	2
82	по-видимому не	2	2
83	в значительной	2	2
84	должно быть	2	2
85	с ними	3	2
86	не о	2	2
87	я и	3	2
88	мы не	3	2
