N	2gram	Losev_Prob_1	RusskieA
1	и в	32	29
2	что в	12	22
3	том что	12	22
4	в том	9	22
5	как бы	14	18
6	в других	5	15
7	может быть	14	13
8	так как	11	13
9	как и	3	11
10	в этом	19	11
11	все это	7	10
12	и с	2	10
13	не только	17	10
14	о том	11	9
15	а в	4	9
16	во многих	2	9
17	или на	3	8
18	но и	9	8
19	ее в	2	8
20	его в	6	8
21	данном случае	8	7
22	как в	4	7
23	или в	4	7
24	с тем	5	6
25	мы не	2	6
26	этом случае	2	6
27	же в	4	6
28	еще не	9	6
29	для того	8	6
30	для нас	5	6
31	вместе с	2	6
32	таким образом	6	6
33	при этом	6	6
34	того чтобы	9	6
35	и на	8	6
36	в данном	9	6
37	мы имеем	2	6
38	потому что	16	5
39	это не	6	5
40	то что	42	5
41	и что	9	5
42	но не	9	5
43	для этого	3	5
44	и т	11	5
45	не может	8	5
46	т д	10	5
47	но в	14	5
48	именно в	4	4
49	о чем	6	4
50	в них	7	4
51	и все	7	4
52	уже не	3	4
53	по существу	2	4
54	так что	6	4
55	не в	4	4
56	этих случаях	3	4
57	из них	3	4
58	к нему	3	4
59	же как	2	4
60	а также	4	4
61	или вообще	2	4
62	так же	9	4
63	то и	6	4
64	то же	10	4
65	у нас	14	4
66	а не	15	4
67	в таком	9	4
68	в которых	3	4
69	их в	4	4
70	в виде	15	4
71	далеко не	5	4
72	как это	6	4
73	тем что	7	3
74	в этих	3	3
75	в качестве	2	3
76	а наоборот	3	3
77	на первый	2	3
78	в ее	3	3
79	она не	2	3
80	что здесь	3	3
81	того что	7	3
82	было бы	8	3
83	и о	8	3
84	что она	5	3
85	но если	2	3
86	в котором	5	3
87	с другими	2	3
88	не имеет	2	3
89	во всех	7	3
90	не будем	2	3
91	а именно	12	3
92	что для	2	3
93	все эти	8	3
94	как мы	7	3
95	тому как	2	3
96	между тем	2	3
97	но он	3	3
98	подобно тому	2	3
99	в этой	10	3
100	в таких	2	3
101	что это	3	3
102	в эту	2	3
103	не менее	19	2
104	говорить что	2	2
105	связи с	5	2
106	об этом	10	2
107	могут быть	2	2
108	никогда не	7	2
109	по этому	3	2
110	с другой	3	2
111	из этих	2	2
112	он есть	4	2
113	сразу же	2	2
114	прежде всего	10	2
115	не что	2	2
116	в целях	2	2
117	человека а	2	2
118	нас не	2	2
119	говорит о	3	2
120	кроме того	2	2
121	и как	6	2
122	в ряд	2	2
123	и при	2	2
124	совсем не	4	2
125	здесь в	3	2
126	для них	2	2
127	и пр	4	2
128	совершенно не	6	2
129	тем не	18	2
130	в него	2	2
131	в виду	6	2
132	как оно	3	2
133	один из	4	2
134	но она	3	2
135	в своей	8	2
136	после этого	4	2
137	в их	4	2
138	этому поводу	3	2
139	того как	3	2
140	не было	4	2
141	на самом	6	2
142	тем и	2	2
143	мы здесь	2	2
144	и для	4	2
145	должно быть	2	2
146	можно было	3	2
147	и то	6	2
148	пока еще	3	2
149	одно из	2	2
150	с этим	3	2
151	на себя	2	2
152	и ее	8	2
153	и еще	3	2
154	что иное	2	2
155	в то	6	2
156	можно будет	2	2
157	когда мы	8	2
158	в которой	2	2
159	есть в	5	2
160	иное как	2	2
161	не можем	2	2
