N	2gram	Bakhtin_Fr_6	Marksizm
1	может быть	2	28
2	и в	41	19
3	как бы	7	19
4	и не	3	19
5	не может	4	18
6	точки зрения	2	17
7	то же	5	16
8	и его	13	16
9	как мы	12	15
10	в этом	12	15
11	таким образом	17	14
12	лишь в	2	14
13	в сущности	8	14
14	так сказать	2	14
15	не только	10	13
16	с точки	2	13
17	связи с	2	13
18	в нем	16	11
19	вовсе не	7	11
20	не в	4	10
21	но и	13	10
22	том что	7	10
23	так и	5	10
24	и т.п	19	10
25	при этом	3	9
26	в основе	4	9
27	как и	7	9
28	самом деле	4	9
29	а не	2	9
30	же время	5	8
31	в то	6	8
32	с его	5	8
33	только в	3	8
34	никогда не	8	7
35	в том	2	7
36	но в	8	7
37	прежде всего	10	7
38	и для	3	7
39	и как	4	6
40	того чтобы	4	6
41	в самом	10	6
42	с помощью	6	6
43	и все	9	6
44	между тем	2	6
45	более того	4	6
46	мы уже	18	6
47	во всех	17	6
48	если мы	2	6
49	в большинстве	4	5
50	к нему	3	5
51	в форме	2	5
52	так же	5	5
53	и на	9	5
54	большинстве случаев	5	5
55	того же	4	5
56	в его	7	5
57	все же	4	5
58	в той	5	5
59	в данном	3	5
60	тем более	2	5
61	должна быть	2	4
62	одного и	2	4
63	то что	10	4
64	мы видели	2	4
65	и их	3	4
66	значение в	2	4
67	того что	3	4
68	сказать что	6	4
69	бы в	2	4
70	как раз	2	4
71	что он	6	4
72	было бы	3	4
73	конечно не	3	4
74	вполне понятно	2	4
75	в себе	5	4
76	перед нами	3	3
77	в этих	2	3
78	характерно что	2	3
79	с другой	4	3
80	и от	4	3
81	в этой	8	3
82	одной стороны	4	3
83	в ней	4	3
84	за пределы	2	3
85	если б	2	3
86	в котором	4	3
87	а в	4	3
88	с этим	3	3
89	с одной	4	3
90	все эти	11	3
91	в другом	4	3
92	в истории	2	3
93	о том	9	3
94	так как	10	3
95	для его	2	3
96	конечно в	2	3
97	для всего	2	3
98	в ее	5	3
99	у нас	4	3
100	связано с	3	3
101	до сих	3	3
102	одной из	3	3
103	в корне	2	3
104	он не	2	3
105	и до	7	3
106	в своей	2	3
107	той же	5	3
108	с другими	3	3
109	и то	2	3
110	сих пор	3	3
111	связана с	2	2
112	уже в	4	2
113	все основные	2	2
114	все время	4	2
115	что в	7	2
116	что это	5	2
117	в одной	3	2
118	на все	3	2
119	он был	4	2
120	нас не	3	2
121	находятся в	2	2
122	что они	2	2
123	дело обстоит	2	2
124	в следующей	6	2
125	как о	2	2
126	находит себе	2	2
127	до конца	2	2
128	и у	2	2
129	одним из	4	2
130	они могут	2	2
131	жизни и	3	2
132	в своем	5	2
133	в особенности	7	2
134	именно в	4	2
135	они не	3	2
136	мы встречаем	3	2
137	следующей главе	6	2
138	и даже	4	2
139	рядом с	5	2
140	конечно и	4	2
141	и с	16	2
142	о происхождении	2	2
143	прямо сказать	2	2
144	в начале	3	2
145	все то	5	2
146	степени в	2	2
147	то есть	24	2
148	но они	4	2
149	у него	7	2
150	они уже	2	2
151	стороны и	2	2
152	но не	2	2
153	ведь это	2	2
154	здесь в	9	2
155	мы увидим	3	2
156	и потому	2	2
157	и особенно	3	2
158	должен быть	2	2
159	себя в	2	2
160	и прежде	2	2
161	не на	2	2
162	еще более	2	2
163	на языке	3	2
164	в значительной	2	2
165	что не	3	2
166	и он	5	2
167	между ними	3	2
168	мы не	2	2
169	или в	6	2
170	тем что	5	2
171	границы между	9	2
172	там где	5	2
173	только с	3	2
174	от него	2	2
175	это было	2	2
176	вместе с	6	2
