N	2gram	Nazirov_Tv_2	Mirosoze
1	у достоевского	30	42
2	может быть	8	30
3	не только	13	29
4	и в	20	28
5	не может	7	28
6	но и	8	25
7	а не	6	25
8	он не	3	24
9	о человеке	2	23
10	в этом	8	20
11	не было	2	18
12	у него	6	17
13	не в	4	16
14	потому что	7	16
15	в своей	6	15
16	и есть	2	14
17	никогда не	11	14
18	человека и	3	14
19	в нем	3	13
20	творчество достоевского	4	13
21	человека в	3	13
22	и достоевский	4	12
23	и он	2	12
24	и это	3	12
25	для него	3	11
26	в самом	3	11
27	и не	9	11
28	что в	7	10
29	в мире	5	10
30	из подполья	6	10
31	достоевского и	2	10
32	прежде всего	8	10
33	что он	6	10
34	и потому	4	10
35	в творчестве	5	10
36	достоевского в	9	9
37	в его	10	9
38	и его	9	9
39	но не	5	8
40	в котором	3	8
41	иван карамазов	7	8
42	быть может	3	7
43	образ человека	2	7
44	в конце	6	7
45	но в	4	7
46	любви к	3	7
47	о достоевском	2	7
48	ивана карамазова	8	7
49	нет ничего	3	7
50	подпольного человека	3	7
51	в себе	3	7
52	он сам	3	6
53	в том	8	6
54	в этой	5	6
55	все это	6	6
56	и на	5	6
57	достоевский не	5	6
58	подпольный человек	3	6
59	вместе с	3	6
60	только в	2	6
61	в которой	2	6
62	это не	7	5
63	достоевский в	7	5
64	великом инквизиторе	3	5
65	достоевского к	2	5
66	для достоевского	2	5
67	если он	5	5
68	у нас	2	5
69	как и	6	5
70	то что	3	5
71	достоевского нет	3	5
72	нет и	2	5
73	уже в	2	4
74	с этой	3	4
75	не знал	2	4
76	достоевского не	8	4
77	в их	3	4
78	веру в	2	4
79	и по	2	4
80	а в	4	4
81	в которых	3	4
82	герои достоевского	4	4
83	творчестве достоевского	4	4
84	жизнь идей	2	4
85	о великом	3	4
86	один из	3	4
87	xix века	7	4
88	человеческой личности	2	4
89	уже не	3	4
90	что достоевский	3	4
91	тем что	3	4
92	романов достоевского	5	3
93	в братьях	6	3
94	достоевского но	3	3
95	но если	2	3
96	преступления и	2	3
97	в свете	3	3
98	не так	2	3
99	особенно в	2	3
100	и еще	2	3
101	его в	3	3
102	так как	3	3
103	то есть	5	3
104	и с	8	3
105	в ее	2	3
106	том что	4	3
107	ничего не	4	3
108	себя в	2	3
109	когда он	4	3
110	идей и	2	3
111	братьях карамазовых	7	3
112	за собой	4	2
113	место в	3	2
114	и от	4	2
115	своих героев	3	2
116	жизни идей	3	2
117	и мы	3	2
118	одним из	3	2
119	на этот	2	2
120	могут быть	2	2
121	по отношению	3	2
122	в бесах	6	2
123	все эти	4	2
124	и что	2	2
125	достоевским в	2	2
126	философии но	2	2
127	в начале	3	2
128	в истории	2	2
129	проникает в	2	2
130	как бы	11	2
131	о том	5	2
132	в россии	2	2
133	с ним	3	2
134	достоевского мы	2	2
135	в основе	2	2
136	если бы	4	2
137	жизни в	3	2
138	личности в	2	2
139	к этому	3	2
140	романы достоевского	2	2
141	в преступлении	10	2
142	отношению к	3	2
143	мы видим	4	2
144	достоевского с	5	2
145	к миру	2	2
146	в то	10	2
147	достоевского это	3	2
148	до сих	3	2
149	о своих	2	2
150	в этот	2	2
151	все же	5	2
152	я бы	3	2
153	героев достоевского	5	2
154	в дневнике	3	2
155	в свой	2	2
156	дневнике писателя	2	2
157	самого достоевского	2	2
158	сих пор	3	2
159	карамазова и	2	2
160	как в	4	2
161	приводит к	2	2
162	в наше	2	2
163	реалистический роман	2	2
164	бы не	2	2
165	и у	2	2
166	образ и	2	2
167	достоевского как	8	2
