N	2gram	Tiupa_Disk_1	Istorich
1	и в	16	25
2	что он	4	22
3	в сказке	3	18
4	может быть	17	17
5	мы имеем	2	14
6	не только	28	13
7	но и	14	13
8	в его	7	12
9	и не	11	11
10	уже не	4	11
11	все же	3	10
12	в этом	15	10
13	тем что	3	10
14	с другой	10	9
15	и его	2	9
16	таким образом	3	9
17	героя в	2	9
18	связи с	4	8
19	что в	4	8
20	том что	19	8
21	еще не	14	8
22	другой стороны	3	8
23	и что	2	8
24	и на	5	8
25	в частности	9	7
26	в качестве	34	7
27	как и	16	7
28	то что	5	7
29	одной стороны	9	7
30	в нем	9	7
31	с одной	9	7
32	потому что	4	7
33	представляет собой	17	7
34	только в	7	7
35	о том	8	7
36	это не	3	6
37	прежде всего	11	6
38	что и	3	6
39	себя в	2	6
40	как в	10	6
41	не может	9	6
42	и он	2	6
43	не в	7	6
44	или в	2	6
45	могут быть	4	6
46	в том	23	6
47	с этим	3	5
48	как мы	2	5
49	но не	11	5
50	например в	2	5
51	не менее	2	4
52	не как	4	4
53	не всегда	2	4
54	и тем	2	4
55	в ее	3	4
56	в пределах	2	4
57	то же	7	4
58	в истории	4	4
59	на смену	3	4
60	никогда не	2	3
61	и как	6	3
62	представления о	2	3
63	и все	2	3
64	в целом	4	3
65	в свою	3	3
66	ему в	2	3
67	в этой	2	3
68	в то	3	3
69	в себя	5	3
70	и требует	2	3
71	на том	2	3
72	о нем	2	3
73	и др	2	3
74	на себя	2	3
75	в форме	2	3
76	на этом	2	3
77	в особенности	4	3
78	более поздних	2	3
79	а в	5	3
80	в которых	4	3
81	в данном	5	3
82	они не	2	3
83	человека в	2	3
84	и вообще	2	3
85	героя и	2	3
86	ей в	2	3
87	перед нами	3	2
88	уже в	2	2
89	одновременно с	2	2
90	сказки и	2	2
91	а сам	2	2
92	к этому	2	2
93	по себе	3	2
94	в различных	2	2
95	можно сказать	5	2
96	об этом	2	2
97	того же	3	2
98	или на	3	2
99	одним из	2	2
100	как бы	5	2
101	и потому	3	2
102	из двух	2	2
103	еще в	3	2
104	по мере	2	2
105	один из	3	2
106	в своей	5	2
107	отношению к	9	2
108	когда он	2	2
109	во всех	5	2
110	том чтобы	2	2
111	данном случае	2	2
112	со стороны	7	2
113	так например	2	2
114	в наше	2	2
115	по отношению	9	2
116	в сказках	2	2
117	а не	22	2
118	того что	3	2
119	и герой	2	2
120	и по	2	2
121	роль в	7	2
122	сказать что	3	2
123	точки зрения	3	2
124	к его	2	2
125	из них	3	2
126	о чем	2	2
127	это было	2	2
