N	2gram	Berdyaev_M_2	Psycholo
1	то что	5	44
2	и в	46	33
3	в этом	20	28
4	как бы	8	25
5	и что	2	25
6	все время	2	24
7	потому что	12	24
8	для того	5	23
9	может быть	21	22
10	том что	4	22
11	того чтобы	4	22
12	что в	4	21
13	в том	3	21
14	о том	3	20
15	что он	7	20
16	что это	6	13
17	и не	18	13
18	так же	6	13
19	сказать что	3	13
20	к тому	5	12
21	в самом	5	12
22	и все	5	12
23	так как	8	12
24	что все	5	11
25	он не	10	11
26	говорит что	2	10
27	что она	5	10
28	не может	15	10
29	в его	5	10
30	если бы	3	10
31	в трагедии	3	10
32	в этой	7	9
33	и если	2	9
34	по себе	2	9
35	то же	5	9
36	в конце	5	8
37	для этого	4	8
38	вместе с	2	8
39	как будто	2	8
40	в своем	8	7
41	до конца	4	7
42	так что	2	7
43	в нем	22	7
44	не только	18	7
45	тому что	4	6
46	это не	5	6
47	что они	3	6
48	в ней	11	6
49	и вот	5	6
50	но он	11	6
51	точки зрения	2	6
52	у него	22	6
53	мы видим	2	6
54	в сущности	2	6
55	а не	13	6
56	в себе	10	6
57	никогда не	18	5
58	и на	3	5
59	как он	3	5
60	с ним	3	5
61	это и	3	5
62	как и	13	5
63	и его	5	5
64	и это	5	5
65	я не	5	4
66	и есть	8	4
67	что у	4	4
68	жизни и	6	4
69	для чего	3	4
70	а в	2	4
71	и других	2	4
72	того что	6	4
73	в жизни	4	4
74	у нас	11	4
75	себя в	4	4
76	не будет	3	4
77	в своей	5	4
78	ее в	2	4
79	что не	2	4
80	той же	3	4
81	можно было	2	4
82	жизнь и	4	4
83	только в	3	4
84	в которой	2	4
85	же как	3	3
86	к которой	3	3
87	в мире	7	3
88	ни в	3	3
89	тот же	2	3
90	должно быть	2	3
91	на этом	2	3
92	и за	2	3
93	но и	15	3
94	не было	11	3
95	не для	3	3
96	увидим что	2	3
97	в своих	3	3
98	и здесь	6	3
99	его в	3	3
100	та же	10	3
101	нет ни	2	3
102	в основе	2	3
103	бы его	2	3
104	до сих	3	3
105	она не	8	3
106	что и	4	3
107	в дневнике	2	3
108	сих пор	3	3
109	так и	4	3
110	как в	7	3
111	да и	2	3
112	и он	11	3
113	и для	7	3
114	из этой	2	3
115	от этого	2	3
116	тем что	3	3
117	место в	2	2
118	уже в	2	2
119	не был	2	2
120	бы и	5	2
121	и от	3	2
122	на все	3	2
123	прежде всего	12	2
124	вопрос о	6	2
125	в такой	3	2
126	ее и	2	2
127	одна и	3	2
128	всю жизнь	3	2
129	в действительности	2	2
130	и та	2	2
131	себе и	2	2
132	и той	2	2
133	один из	5	2
134	не хотел	2	2
135	она есть	2	2
136	те же	5	2
137	не имеет	4	2
138	его не	2	2
139	и с	3	2
140	во всем	5	2
141	также и	4	2
142	не в	9	2
143	человеческой природы	7	2
144	и потому	7	2
145	бы не	2	2
146	но в	10	2
147	сам по	2	2
148	с его	4	2
149	в них	3	2
150	что всякий	3	2
151	если он	2	2
152	думать что	4	2
153	и к	7	2
154	для нашей	2	2
155	мы увидим	2	2
156	во всех	2	2
157	с гениальной	2	2
158	с таким	2	2
159	перед ним	4	2
160	нем нет	2	2
161	принадлежит к	2	2
162	к самому	2	2
163	одной и	2	2
164	и она	3	2
165	и эта	2	2
166	ни одного	2	2
167	хотя бы	7	2
168	в последней	2	2
169	тому как	2	2
170	не надо	2	2
171	связи с	2	2
172	много раз	2	2
173	в русской	6	2
174	те которые	3	2
175	только с	3	2
176	ничего не	2	2
177	что нет	3	2
