N	3gram	Potebnia_M_3	Psycholo
1	для того чтобы	3	19
2	в том что	16	14
3	с одной стороны	3	12
4	к тому что	2	6
5	до сих пор	3	5
6	с другой стороны	4	5
7	заключает в себе	5	4
8	не только не	2	4
9	именно то что	2	4
10	в этом отношении	2	3
11	сам по себе	5	3
12	и то же	5	3
13	одним и тем	3	3
14	и тем же	3	3
15	одно и то	5	3
16	вместе с тем	4	3
17	и т д	3	3
18	и т п	2	3
19	можно сказать что	2	2
20	мы должны будем	2	2
21	и в самом	2	2
22	то что мы	2	2
23	и той же	2	2
24	не может быть	3	2
25	не только в	4	2
26	само по себе	3	2
27	в том чтобы	2	2
28	одной и той	2	2
29	именно в том	2	2
30	потому что он	3	2
