N	2gram	Losev_Prob_5	Hudozhes
1	том что	17	16
2	и в	30	14
3	так и	7	13
4	а не	5	12
5	в том	12	12
6	не только	18	12
7	при этом	4	12
8	о том	12	12
9	прежде всего	6	11
10	в этом	17	11
11	в себе	4	11
12	в своей	22	10
13	у него	11	9
14	что он	7	9
15	как и	7	9
16	в качестве	4	9
17	то же	2	9
18	как в	2	8
19	то что	18	8
20	отношению к	2	8
21	по отношению	2	8
22	между тем	2	8
23	в этой	10	8
24	в то	4	8
25	в его	12	8
26	ничего не	2	8
27	это не	2	7
28	к тому	2	7
29	уже не	6	7
30	не в	7	7
31	еще не	3	7
32	как бы	6	7
33	не может	5	7
34	именно в	3	7
35	а в	6	7
36	никогда не	7	6
37	что в	5	6
38	было бы	4	6
39	в первой	2	6
40	жизни в	4	6
41	не менее	5	5
42	в частности	4	5
43	об этом	4	5
44	может быть	7	5
45	только в	9	5
46	и он	4	5
47	но и	13	5
48	жизни и	2	5
49	по мнению	2	5
50	самом деле	2	5
51	и его	6	5
52	можно было	2	5
53	потому что	13	5
54	ни в	4	5
55	точки зрения	10	5
56	но в	9	5
57	связи с	7	4
58	в своем	11	4
59	и все	9	4
60	в духе	3	4
61	на то	2	4
62	можно сказать	6	4
63	и к	4	4
64	тем не	5	4
65	несмотря на	6	4
66	в самом	5	4
67	и о	5	4
68	в ней	3	4
69	один из	2	4
70	из них	2	4
71	xix в	4	4
72	как раз	5	4
73	человеческой жизни	2	4
74	того что	3	4
75	он не	3	4
76	по своей	2	4
77	как будто	3	4
78	в русской	3	4
79	в конце	8	4
80	с ним	3	4
81	и с	5	4
82	но не	7	3
83	отнюдь не	4	3
84	что у	5	3
85	но он	5	3
86	же в	3	3
87	как мы	2	3
88	в ее	3	3
89	такого рода	2	3
90	еще в	5	3
91	для себя	5	3
92	в нем	6	3
93	русской литературе	3	3
94	все же	9	3
95	то и	2	3
96	в связи	7	3
97	и для	6	3
98	все эти	2	3
99	того чтобы	2	3
100	и даже	14	3
101	с точки	8	3
102	в таком	2	3
103	тем что	2	3
104	и на	6	3
105	будто бы	5	3
106	его в	6	3
107	а также	3	3
108	едва ли	4	3
109	видит в	3	3
110	поэтому и	2	2
111	все еще	4	2
112	и другое	3	2
113	однако в	3	2
114	в одной	2	2
115	ясно что	4	2
116	по себе	2	2
117	да и	2	2
118	так что	11	2
119	в другом	3	2
120	и что	6	2
121	мы читаем	6	2
122	участие в	2	2
123	раз в	2	2
124	на его	2	2
125	в начале	3	2
126	а его	4	2
127	никак не	8	2
128	хотя и	8	2
129	только для	2	2
130	сих пор	2	2
131	на него	2	2
132	но еще	2	2
133	внимание на	3	2
134	а с	4	2
135	и не	12	2
136	они не	2	2
137	в значительной	2	2
138	что не	2	2
139	бы на	2	2
140	в это	2	2
141	с этой	2	2
142	в результате	7	2
143	о котором	3	2
144	здесь не	7	2
145	говорится о	4	2
146	мы не	2	2
147	до сих	2	2
