N	3gram	Vinokur_St_1	Problema
1	тем не менее	2	18
2	и т д	21	10
3	в данном случае	6	8
4	на то что	4	8
5	для того чтобы	10	8
6	ничего общего с	3	7
7	о том что	11	5
8	в том что	17	5
9	в то же	4	4
10	т д и	2	4
11	на самом деле	6	4
12	по этому поводу	2	3
13	дело в том	4	3
14	что же касается	3	3
15	с точки зрения	8	3
16	до сих пор	7	3
17	с другой стороны	6	3
18	может быть и	2	3
19	то что в	2	3
20	что в нем	2	3
21	во всяком случае	6	3
22	можно было бы	8	2
23	по крайней мере	2	2
24	тем что в	2	2
25	а также и	2	2
26	так же как	3	2
27	не имеет ничего	2	2
28	в самом деле	5	2
29	и в этом	3	2
30	на этот раз	2	2
31	того или иного	4	2
32	в этом случае	2	2
33	и в самом	3	2
34	не может быть	5	2
35	и то что	2	2
36	в этой области	5	2
37	имеет ничего общего	2	2
38	так или иначе	2	2
