N	2gram	Losev_Vlad_2	FransuaR
1	и в	30	45
2	то есть	7	25
3	и не	18	15
4	не только	12	14
5	в этом	20	14
6	но в	8	14
7	в его	11	13
8	во всех	3	13
9	и его	6	13
10	как бы	5	12
11	что в	12	12
12	в своем	8	11
13	то же	4	11
14	в то	9	11
15	прежде всего	6	10
16	в том	18	10
17	в нем	4	10
18	но и	8	10
19	как и	5	10
20	и с	14	10
21	же время	3	9
22	вовсе не	4	8
23	как мы	11	8
24	в ней	4	8
25	жизни и	6	8
26	таким образом	3	8
27	так же	4	8
28	с его	4	7
29	в конце	13	7
30	он был	6	7
31	том что	12	7
32	не в	9	7
33	что и	3	7
34	мы видели	2	7
35	все это	5	7
36	также и	6	7
37	потому что	9	7
38	и все	7	7
39	всех этих	3	6
40	что он	13	6
41	в этой	4	6
42	он не	4	6
43	здесь не	4	6
44	так и	5	6
45	мысли и	2	6
46	того чтобы	2	6
47	для того	2	6
48	связи с	8	6
49	так как	5	6
50	в них	3	6
51	есть и	2	5
52	с ним	5	5
53	и к	6	5
54	но это	4	5
55	на этом	2	5
56	хотя и	6	5
57	не может	9	5
58	в связи	8	5
59	все эти	5	5
60	и как	3	5
61	и на	4	5
62	его в	4	5
63	об этом	6	4
64	и во	2	4
65	и от	2	4
66	мы не	2	4
67	у него	19	4
68	но не	3	4
69	по своему	2	4
70	здесь в	2	4
71	ничего не	2	4
72	кроме того	9	4
73	по поводу	4	4
74	в самом	2	4
75	в сущности	2	4
76	в общем	2	4
77	и о	4	4
78	мы уже	2	4
79	а также	10	4
80	в их	2	4
81	мы находим	2	4
82	не мог	8	4
83	а не	7	4
84	и даже	10	4
85	его не	2	4
86	а в	11	4
87	той же	4	4
88	можно было	2	4
89	сказать что	11	4
90	с этим	5	4
91	точки зрения	7	4
92	только в	6	4
93	о том	4	4
94	и это	3	4
95	как это	7	4
96	это было	4	4
97	не менее	7	3
98	нисколько не	2	3
99	как в	3	3
100	это не	2	3
101	из этих	3	3
102	единство и	2	3
103	ни в	7	3
104	по существу	3	3
105	того же	5	3
106	то время	6	3
107	для него	9	3
108	в своей	5	3
109	вместе с	8	3
110	но его	2	3
111	и прежде	2	3
112	не было	10	3
113	еще и	6	3
114	именно в	4	3
115	в течение	5	3
116	в году	24	3
117	и вот	3	3
118	того что	5	3
119	на этот	4	3
120	и он	4	3
121	не имеет	2	3
122	и для	3	3
123	но он	3	3
124	он и	3	3
125	как он	2	3
126	дело в	3	3
127	о чем	6	3
128	народа и	2	2
129	с которой	2	2
130	с тем	2	2
131	и есть	2	2
132	борьба с	2	2
133	тут же	2	2
134	жизни в	2	2
135	хотя бы	3	2
136	это в	3	2
137	на все	2	2
138	к этому	6	2
139	еще один	2	2
140	можно сказать	4	2
141	к тому	2	2
142	в отношении	3	2
143	ли он	2	2
144	отличие от	3	2
145	своей жизни	3	2
146	в начале	4	2
147	то что	20	2
148	и она	2	2
149	церкви и	2	2
150	в париж	2	2
151	из его	2	2
152	было бы	9	2
153	что это	4	2
154	несмотря на	4	2
155	и если	4	2
156	к ней	3	2
157	конечно не	4	2
158	может быть	7	2
159	вплоть до	3	2
160	том же	3	2
161	это время	4	2
162	еще в	2	2
163	в эти	7	2
164	даже в	2	2
165	все же	9	2
166	в целом	4	2
167	во второй	2	2
168	и до	2	2
169	данном случае	2	2
170	вот это	2	2
171	а именно	6	2
172	им в	3	2
173	в отличие	3	2
174	на котором	2	2
175	начиная с	2	2
176	при этом	5	2
177	всякого рода	6	2
178	можно говорить	3	2
179	и что	5	2
180	ко всему	4	2
181	но дело	2	2
182	и больше	3	2
183	и наконец	4	2
184	с точки	3	2
185	и притом	2	2
186	к нему	2	2
187	нас в	2	2
188	в данном	3	2
189	не столько	3	2
190	эти последние	4	2
191	под названием	3	2
192	и вообще	10	2
193	на эту	2	2
194	и жизни	2	2
195	уже и	2	2
196	в чем	2	2
