N	2gram	Berdyaev_M_2	KFilosof
1	может быть	21	43
2	в его	5	39
3	в нем	22	31
4	не может	15	27
5	и не	18	26
6	по отношению	2	25
7	и в	46	22
8	отношению к	2	21
9	в себе	10	21
10	не есть	13	19
11	а не	13	17
12	и его	5	17
13	только в	3	16
14	точки зрения	2	13
15	в этом	20	13
16	ни в	3	12
17	для него	18	12
18	и это	5	12
19	в своей	5	11
20	не в	9	11
21	к нему	2	11
22	в своем	8	10
23	это не	5	10
24	во всех	2	10
25	и есть	8	9
26	но и	15	9
27	как бы	8	9
28	и все	5	9
29	и для	7	9
30	не было	11	8
31	лишь в	2	8
32	если бы	3	8
33	жизни и	6	8
34	момент его	2	8
35	и здесь	6	7
36	во всем	5	7
37	должен быть	4	7
38	что и	4	7
39	то что	5	7
40	себя в	4	7
41	я не	5	6
42	в том	3	6
43	но это	8	6
44	момент в	3	6
45	лишь момент	2	6
46	отношение к	8	6
47	в мире	7	6
48	он не	10	6
49	уже не	4	6
50	менее всего	3	6
51	никогда не	18	5
52	хотя бы	7	5
53	ее и	2	5
54	но эта	2	5
55	то же	5	5
56	от его	2	5
57	не имеет	4	5
58	от своей	2	5
59	должно быть	2	5
60	в основе	2	5
61	его в	3	5
62	с ним	3	5
63	но в	10	5
64	не знает	9	5
65	жизни в	3	5
66	как и	13	5
67	есть лишь	17	5
68	не только	18	5
69	место в	2	4
70	что в	4	4
71	чем не	2	4
72	в своих	3	4
73	между тем	2	4
74	том что	4	4
75	а в	2	4
76	в чем	3	4
77	а лишь	2	3
78	бы и	5	3
79	что это	6	3
80	в каждом	3	3
81	лишь как	3	3
82	в свою	4	3
83	до конца	4	3
84	нет в	4	3
85	себе и	2	3
86	от того	3	3
87	того что	6	3
88	и на	3	3
89	людей и	3	3
90	в ней	11	3
91	о том	3	3
92	сознания и	2	3
93	тогда когда	2	3
94	не могу	6	3
95	быть и	2	3
96	бы не	2	3
97	для того	5	3
98	только с	3	3
99	что не	2	3
100	к чему	4	3
101	тем что	3	3
102	и этим	2	3
103	ничего не	2	3
104	можно ли	3	2
105	та же	10	2
106	прежде всего	12	2
107	вопрос о	6	2
108	или иной	2	2
109	к которой	3	2
110	это есть	2	2
111	совсем не	5	2
112	но для	2	2
113	не о	2	2
114	себя и	3	2
115	его с	2	2
116	по себе	2	2
117	тому что	4	2
118	для этого	4	2
119	что есть	2	2
120	как к	2	2
121	что за	2	2
122	и других	2	2
123	потому что	12	2
124	к себе	2	2
125	я и	2	2
126	были бы	2	2
127	с его	4	2
128	в жизни	4	2
129	думать что	4	2
130	человек не	7	2
131	что он	7	2
132	только это	2	2
133	не будет	3	2
134	него и	2	2
135	тот же	2	2
136	и тот	2	2
137	и потому	7	2
138	но этот	2	2
139	оно не	2	2
140	так и	4	2
141	если я	2	2
142	как в	7	2
143	еще более	2	2
144	это и	3	2
145	чтобы не	3	2
146	и она	3	2
147	того чтобы	4	2
148	и эта	2	2
149	жизнь и	4	2
150	и та	2	2
151	человек и	2	2
152	от этого	2	2
153	в этой	7	2
154	есть момент	2	2
155	отношении к	3	2
156	его на	4	2
157	а для	2	2
