N	2gram	Berdyaev_M_1	slovoVRo
1	и в	28	39
2	может быть	30	37
3	и его	9	33
4	то есть	3	26
5	не только	29	24
6	и не	11	22
7	но и	25	21
8	не может	28	20
9	в нем	13	19
10	до конца	14	17
11	все это	6	16
12	в этом	20	16
13	а не	25	14
14	человек и	6	14
15	как в	2	13
16	в истории	2	11
17	не в	16	9
18	и с	3	9
19	прежде всего	10	8
20	себя в	3	8
21	точки зрения	4	8
22	с его	3	7
23	для него	11	7
24	в его	9	7
25	как бы	2	7
26	никогда не	14	7
27	в этих	4	7
28	и потому	10	7
29	могут быть	2	7
30	с ним	2	7
31	в него	3	7
32	человек в	9	6
33	в них	4	6
34	и к	2	6
35	все же	2	6
36	как и	5	6
37	в своем	10	6
38	но не	8	6
39	темы о	2	6
40	она не	4	6
41	жизни и	2	6
42	все эти	2	6
43	но в	7	6
44	не могут	5	5
45	это не	5	5
46	и для	2	5
47	и все	10	5
48	для нас	3	5
49	том что	3	5
50	только в	6	5
51	в том	6	5
52	и их	3	5
53	один из	4	5
54	человека в	13	5
55	уже не	4	5
56	от него	4	5
57	конечно не	3	5
58	мира и	5	5
59	себя и	3	4
60	и мир	2	4
61	отношению к	2	4
62	по отношению	2	4
63	его не	3	4
64	входит в	2	4
65	отношения к	4	4
66	в той	2	4
67	а в	4	4
68	и на	6	4
69	в основе	2	4
70	даже и	2	4
71	xix века	4	4
72	в то	2	4
73	отношении к	2	4
74	отношение к	4	4
75	его в	3	4
76	так как	3	4
77	человеке и	8	3
78	и там	4	3
79	что в	10	3
80	хотя бы	3	3
81	и от	2	3
82	человека и	14	3
83	должна быть	6	3
84	в свою	2	3
85	что и	4	3
86	на этом	3	3
87	у него	17	3
88	и как	2	3
89	с их	2	3
90	в ней	15	3
91	как для	2	3
92	к нему	7	3
93	связано с	2	3
94	бы и	3	3
95	в свете	3	3
96	лишь в	6	3
97	не была	3	3
98	сказать что	2	3
99	к новому	2	3
100	чем в	2	2
101	может не	2	2
102	уже в	4	2
103	не был	7	2
104	не было	18	2
105	жизни в	2	2
106	но он	9	2
107	в себе	7	2
108	что он	10	2
109	она может	2	2
110	на протяжении	2	2
111	все что	2	2
112	и нет	2	2
113	мы увидим	3	2
114	проникает в	2	2
115	только и	3	2
116	за пределы	4	2
117	к ней	4	2
118	о нем	2	2
119	не все	2	2
120	должен быть	2	2
121	сих пор	2	2
122	то что	5	2
123	его романах	2	2
124	в свой	2	2
125	его как	2	2
126	вместе с	6	2
127	тема о	5	2
128	в их	4	2
129	отличается от	2	2
130	с этим	3	2
131	особенно в	3	2
132	это и	4	2
133	во власти	2	2
134	того чтобы	2	2
135	для того	2	2
136	менее всего	7	2
137	одним из	2	2
138	людей и	2	2
139	также и	2	2
140	в более	2	2
141	он не	24	2
142	эти слова	2	2
143	не знает	4	2
144	о том	2	2
145	как он	2	2
146	это очень	3	2
147	до сих	2	2
