N	2gram	Bakhtin_Fr_1	Russkaja
1	не может	3	22
2	и не	22	19
3	в том	16	17
4	в этом	15	17
5	и в	65	14
6	то что	3	13
7	точки зрения	7	11
8	но и	10	10
9	том что	6	9
10	не только	10	9
11	в себе	3	9
12	с точки	3	9
13	может быть	6	9
14	прежде всего	11	8
15	ни к	2	7
16	стремление к	2	7
17	к тому	2	7
18	самом деле	3	7
19	о том	2	7
20	и с	3	7
21	на самом	6	6
22	что он	3	6
23	и к	4	6
24	для него	5	6
25	все это	9	6
26	в своем	8	6
27	и для	2	6
28	в своих	5	6
29	жизни в	5	5
30	и на	11	5
31	или иной	5	5
32	при этом	6	5
33	до сих	4	5
34	в своей	5	5
35	он не	2	5
36	никогда не	6	5
37	в нем	13	5
38	сих пор	4	5
39	во всех	9	5
40	потому что	5	5
41	только в	7	5
42	между тем	5	5
43	но не	2	4
44	не могут	3	4
45	что в	3	4
46	как и	5	4
47	как бы	22	4
48	все же	6	4
49	жизни и	7	4
50	от того	2	4
51	в их	4	4
52	приводит к	2	4
53	не в	4	4
54	в этой	4	4
55	во всем	2	4
56	в его	9	4
57	его в	7	4
58	так как	6	4
59	в большинстве	2	3
60	из этих	2	3
61	главным образом	6	3
62	всех этих	8	3
63	да и	2	3
64	еще не	6	3
65	несмотря на	2	3
66	в самом	4	3
67	той или	5	3
68	и потому	10	3
69	из них	4	3
70	в значительной	6	3
71	того что	2	3
72	и по	2	3
73	друг друга	3	3
74	или в	2	3
75	культуры в	4	3
76	и во	3	3
77	связи с	4	3
78	и ни	3	3
79	этой культуры	4	2
80	в частности	5	2
81	не подлежит	2	2
82	и от	2	2
83	этот вопрос	2	2
84	к себе	2	2
85	европейской культуры	3	2
86	это в	4	2
87	культуры и	8	2
88	бы ни	2	2
89	уже не	3	2
90	из всех	2	2
91	но это	3	2
92	от него	2	2
93	вся эта	3	2
94	совершенно не	4	2
95	видеть в	2	2
96	но для	3	2
97	в ней	6	2
98	на этой	3	2
99	не к	2	2
100	для нас	4	2
101	в некоторых	2	2
102	время в	2	2
103	отношения к	2	2
104	вся она	2	2
105	все эти	10	2
106	не просто	3	2
107	и вот	2	2
108	только на	2	2
109	значительной мере	2	2
110	и наконец	2	2
111	и даже	8	2
112	к нему	3	2
113	в других	3	2
114	во многих	2	2
115	в таком	2	2
116	их в	2	2
117	даже и	3	2
118	мы уже	12	2
119	во время	4	2
120	культуре и	2	2
121	в таких	2	2
122	в этих	2	2
123	большинстве случаев	2	2
124	с ним	3	2
125	отметить что	2	2
126	в области	7	2
127	у других	2	2
128	но в	14	2
