N	2gram	Vygotskiy__3	Literetu
1	не только	12	24
2	при этом	4	19
3	в качестве	2	17
4	но и	5	17
5	а не	7	16
6	в том	25	16
7	том что	14	14
8	может быть	19	13
9	и не	10	12
10	в этом	13	12
11	состоит в	3	11
12	в своем	5	11
13	то что	35	10
14	в русской	2	10
15	не в	12	8
16	в целом	4	8
17	и в	38	8
18	только в	4	8
19	как это	6	8
20	я не	5	7
21	в его	5	7
22	как бы	14	7
23	уже не	2	7
24	в себе	4	7
25	и я	2	6
26	как и	8	6
27	того что	4	6
28	точки зрения	16	6
29	то есть	15	6
30	русской поэзии	2	5
31	казалось бы	5	5
32	с этой	2	5
33	что он	11	5
34	же в	2	5
35	как в	4	5
36	не может	7	5
37	то же	10	5
38	в данном	2	5
39	в то	3	5
40	для этого	2	4
41	столь же	2	4
42	в конце	2	4
43	в силу	2	4
44	представляет собой	2	4
45	и тем	3	4
46	все же	8	4
47	из них	6	4
48	по преимуществу	2	4
49	в своей	5	4
50	данном случае	2	4
51	со стороны	2	4
52	никогда не	4	4
53	и его	6	4
54	как раз	8	4
55	в своих	4	4
56	в этой	13	4
57	в основе	3	3
58	что в	20	3
59	с другой	7	3
60	одного из	2	3
61	что его	2	3
62	аналогии с	2	3
63	одна из	4	3
64	например в	2	3
65	в самом	25	3
66	несмотря на	5	3
67	не мог	4	3
68	у него	4	3
69	один из	6	3
70	по аналогии	2	3
71	бы не	3	3
72	а в	7	3
73	таким образом	12	3
74	еще и	2	3
75	и даже	4	3
76	той же	2	3
77	потому что	14	3
78	во всяком	2	3
79	одно из	2	3
80	к себе	2	3
81	но в	3	3
82	далеко не	3	3
83	его в	3	3
84	в виду	4	3
85	на этом	5	2
86	как все	2	2
87	должна быть	5	2
88	все более	2	2
89	отнюдь не	2	2
90	все они	2	2
91	дело не	2	2
92	та же	3	2
93	из этих	3	2
94	к тому	6	2
95	по выражению	2	2
96	в другом	5	2
97	того же	3	2
98	для него	2	2
99	от своего	2	2
100	одной стороны	5	2
101	было бы	12	2
102	мы в	2	2
103	всяком случае	2	2
104	должен быть	3	2
105	в нем	4	2
106	то это	2	2
107	только то	2	2
108	не к	3	2
109	в сущности	10	2
110	то и	3	2
111	и только	3	2
112	с одной	6	2
113	все эти	4	2
114	для читателя	2	2
115	самом деле	21	2
116	что не	3	2
117	хотя бы	2	2
118	с точки	9	2
119	к смерти	2	2
120	и то	8	2
121	между тем	7	2
122	тем что	3	2
123	как будто	4	2
124	на это	3	2
125	о том	6	2
126	поэзии и	2	2
