N	2gram	Berdyaev_M_2	Narrotol
1	не только	18	26
2	а не	13	17
3	но и	15	15
4	в том	3	14
5	и не	18	14
6	том что	4	13
7	и в	46	13
8	в этом	20	13
9	такого рода	2	12
10	только в	3	11
11	может быть	21	10
12	к тому	5	9
13	так и	4	9
14	а в	2	9
15	то что	5	8
16	в себе	10	8
17	не может	15	8
18	не в	9	8
19	к себе	2	7
20	никогда не	18	6
21	в своем	8	6
22	в жизни	4	6
23	прежде всего	12	6
24	и к	7	6
25	того что	6	6
26	в его	5	6
27	жизни в	3	6
28	у него	22	6
29	как бы	8	6
30	ничего не	2	6
31	но в	10	6
32	место в	2	5
33	точки зрения	2	5
34	что он	7	5
35	хотя и	2	5
36	он не	10	5
37	я не	5	5
38	в нем	22	5
39	отношению к	2	5
40	как в	7	5
41	по отношению	2	5
42	о том	3	5
43	что это	6	4
44	если бы	3	4
45	в конце	5	4
46	как и	13	4
47	как у	2	4
48	все что	4	4
49	что в	4	4
50	для него	18	4
51	не к	2	4
52	жизни и	6	4
53	в своей	5	4
54	то же	5	4
55	уже не	4	4
56	в мире	7	4
57	в этой	7	4
58	и все	5	4
59	с ним	3	4
60	с его	4	3
61	человек в	3	3
62	тому что	4	3
63	это не	5	3
64	или иной	2	3
65	да и	2	3
66	что они	3	3
67	к ней	2	3
68	один из	5	3
69	как к	2	3
70	того чтобы	4	3
71	и для	7	3
72	и его	5	3
73	сказать что	3	3
74	между тем	2	3
75	по своей	3	3
76	он сам	6	2
77	же как	3	2
78	личного бытия	2	2
79	личности в	2	2
80	в нашем	7	2
81	что у	4	2
82	превращается в	2	2
83	хотя бы	7	2
84	к другому	3	2
85	и здесь	6	2
86	в свою	4	2
87	он лишь	2	2
88	к своему	2	2
89	другого человека	2	2
90	с другим	3	2
91	мысль о	2	2
92	и он	11	2
93	со своим	2	2
94	себе и	2	2
95	в самом	5	2
96	не могу	6	2
97	в центре	2	2
98	интерес к	2	2
99	но для	2	2
100	что она	5	2
101	от его	2	2
102	оно не	2	2
103	с таким	2	2
104	что и	4	2
105	себя в	4	2
106	не будет	3	2
107	человека есть	3	2
108	у нас	11	2
109	те же	5	2
110	достоевского и	2	2
111	быть может	2	2
112	они не	4	2
113	и что	2	2
114	более чем	2	2
115	не имеет	4	2
116	так же	6	2
117	той же	3	2
118	ведет к	13	2
119	можно было	2	2
120	в чем	3	2
121	тому как	2	2
122	но это	8	2
123	не случайно	2	2
124	в ней	11	2
125	но он	11	2
126	подобно тому	2	2
127	в своих	3	2
128	в церкви	2	2
129	как он	3	2
130	бы в	2	2
131	потому что	12	2
132	к которому	3	2
