N	3gram	Vinokur_Vv_1	Vladivir
1	в том что	12	9
2	в связи с	2	8
3	тем не менее	8	6
4	во всяком случае	3	6
5	что же касается	2	5
6	и то что	2	5
7	по крайней мере	4	4
8	о том что	12	3
9	дело в том	2	3
10	с точки зрения	2	3
11	в то же	5	3
12	точно так же	2	3
13	в отличие от	3	3
14	в конце концов	2	3
15	то же время	5	3
16	не в том	2	3
17	так или иначе	4	3
18	в данном случае	4	2
19	во второй половине	2	2
20	к этому времени	2	2
21	не только в	4	2
22	не говоря уже	2	2
23	после того как	2	2
24	само по себе	3	2
25	можно было бы	3	2
26	как мы видели	2	2
27	в том чтобы	5	2
28	заключается в том	3	2
