N	2gram	Losev_Prob_3	RusskieA
1	и в	44	36
2	не только	14	22
3	что в	8	19
4	том что	12	19
5	в том	21	17
6	но и	10	16
7	так как	9	15
8	и другие	3	13
9	в этом	17	12
10	это не	9	10
11	как мы	8	10
12	как и	10	10
13	и т	13	10
14	вместе с	2	10
15	потому что	25	10
16	об этом	3	9
17	т д	13	9
18	а в	5	9
19	с тем	5	8
20	у нас	10	8
21	из них	2	8
22	может быть	28	8
23	и по	2	8
24	о том	6	8
25	как это	2	8
26	что они	5	7
27	что и	9	7
28	так и	10	7
29	и не	35	6
30	для нас	16	6
31	при этом	4	6
32	уже не	7	6
33	таким образом	9	6
34	мы не	7	6
35	все это	5	6
36	не имеет	9	6
37	в виде	6	6
38	то что	23	6
39	будто бы	3	6
40	этом случае	5	5
41	все же	6	5
42	как будто	3	5
43	как бы	9	5
44	и у	2	5
45	в которых	3	5
46	как в	5	5
47	тому что	4	4
48	с собой	3	4
49	в тех	3	4
50	к тому	3	4
51	по существу	2	4
52	петра i	3	4
53	еще не	5	4
54	связи с	8	4
55	во всех	2	4
56	в их	2	4
57	не может	7	4
58	в связи	7	4
59	а с	2	4
60	мы имеем	2	4
61	и что	7	4
62	того что	8	4
63	но это	8	4
64	тем что	4	4
65	только в	19	4
66	не менее	10	3
67	для них	2	3
68	о чем	2	3
69	что это	3	3
70	в этих	2	3
71	в качестве	3	3
72	в своем	5	3
73	но все	3	3
74	и к	6	3
75	тем не	10	3
76	только на	5	3
77	а также	4	3
78	в настоящее	2	3
79	не будем	2	3
80	много и	2	3
81	то же	13	3
82	всякого рода	4	3
83	с точки	2	3
84	на этот	4	3
85	так же	5	3
86	ничего не	3	3
87	точки зрения	5	3
88	настоящее время	2	3
89	то есть	34	3
90	этого слова	5	3
91	не было	5	2
92	всех этих	2	2
93	и более	2	2
94	в частности	2	2
95	могут быть	2	2
96	но даже	4	2
97	в нашем	5	2
98	что у	3	2
99	с этим	2	2
100	и потому	7	2
101	не просто	23	2
102	значение и	5	2
103	в нем	9	2
104	не что	4	2
105	нас не	5	2
106	так что	12	2
107	и как	3	2
108	в самих	2	2
109	но не	3	2
110	быть и	3	2
111	но что	2	2
112	она не	3	2
113	отнюдь не	10	2
114	когда он	2	2
115	и всей	2	2
116	в ней	5	2
117	в его	9	2
118	не знали	2	2
119	не значит	3	2
120	нас к	2	2
121	и с	9	2
122	в целом	6	2
123	его как	3	2
124	значит что	7	2
125	с ней	5	2
126	и до	2	2
127	природы и	2	2
128	за счет	2	2
129	для этого	6	2
130	между прочим	2	2
131	все эти	7	2
132	xx в	2	2
133	на самом	7	2
134	а мы	2	2
135	а не	18	2
136	и для	2	2
137	с ним	7	2
138	воздействовать на	2	2
139	или в	4	2
140	тут же	4	2
141	этот вопрос	3	2
142	мы можем	6	2
143	хотя и	5	2
144	на новый	2	2
145	и здесь	5	2
146	что иное	4	2
147	но в	12	2
148	ничего общего	7	2
149	мы должны	7	2
150	если угодно	2	2
151	иное как	4	2
152	же не	2	2
