N	2gram	Bakhtin_Pr_3	UchenyiS
1	и в	53	14
2	а не	11	10
3	не только	4	10
4	и не	15	8
5	прежде всего	15	8
6	то что	9	7
7	в этом	8	7
8	не может	2	7
9	может быть	12	6
10	хотя бы	2	5
11	все это	8	5
12	то же	6	5
13	но и	7	4
14	в их	2	4
15	конечно не	4	4
16	с другой	2	4
17	но в	5	3
18	как и	11	3
19	в своей	3	3
20	же время	5	3
21	это не	6	3
22	в то	5	3
23	было бы	5	3
24	и т.д	2	3
25	в области	3	3
26	не о	2	3
27	смысле этого	2	2
28	том что	5	2
29	но не	5	2
30	в том	14	2
31	по существу	5	2
32	мы не	4	2
33	с его	2	2
34	не в	2	2
35	и для	4	2
36	но это	3	2
37	мы и	2	2
38	литературы и	2	2
39	только в	4	2
40	и с	6	2
41	тем что	2	2
42	сих пор	5	2
43	могут быть	4	2
44	даже и	2	2
45	что он	4	2
46	и у	7	2
47	в себе	5	2
48	до сих	5	2
49	формы и	3	2
50	в конце	3	2
51	и через	3	2
52	в самом	2	2
53	меньшей степени	2	2
54	в некоторых	4	2
55	одним из	3	2
56	ничего не	6	2
57	для всех	2	2
58	а между	2	2
59	что и	3	2
60	в его	8	2
61	между тем	2	2
62	таким образом	6	2
63	это было	3	2
