N	2gram	Tiupa_Teor_1	DiskursI
1	в себе	9	19
2	при этом	12	17
3	состоит в	17	16
4	в качестве	24	16
5	и в	18	16
6	может быть	17	16
7	как и	4	16
8	в этом	8	16
9	и не	13	15
10	а не	9	14
11	в частности	16	12
12	и т.п	4	12
13	в отличие	6	12
14	отличие от	6	12
15	то есть	12	12
16	в мире	19	11
17	представляет собой	9	11
18	но и	9	11
19	тогда как	15	11
20	но в	9	11
21	том что	9	10
22	не только	16	10
23	своего рода	7	10
24	со стороны	2	10
25	такого рода	8	9
26	так и	10	9
27	не может	4	9
28	в том	16	8
29	а также	6	8
30	как в	5	8
31	в рамках	7	7
32	не менее	4	7
33	прежде всего	2	7
34	в нем	4	7
35	ни в	2	7
36	но не	9	7
37	в лирике	2	7
38	в данном	8	7
39	с его	5	6
40	отнюдь не	3	6
41	себя в	6	6
42	еще не	4	6
43	в своей	6	6
44	данном случае	5	6
45	то же	7	6
46	тем самым	4	6
47	по своей	3	6
48	ни к	3	5
49	в противоположность	2	5
50	а с	3	5
51	что в	9	5
52	в своем	4	5
53	с другой	7	5
54	нового времени	3	5
55	же время	5	5
56	для него	2	5
57	то что	3	5
58	в то	6	5
59	я в	16	5
60	лирического героя	4	5
61	в одном	2	4
62	не сводится	4	4
63	к его	2	4
64	в пределах	5	4
65	художественного целого	4	4
66	одной стороны	2	4
67	как бы	5	4
68	времени в	2	4
69	отношению к	4	4
70	по отношению	4	4
71	с одной	2	4
72	роль в	2	4
73	в рассказе	2	4
74	потому что	3	4
75	в основе	3	4
76	точки зрения	9	4
77	в этой	3	4
78	и то	2	4
79	не является	4	4
80	я и	2	4
81	перед нами	2	3
82	жизни в	2	3
83	могут быть	4	3
84	в этих	3	3
85	в них	2	3
86	столь же	2	3
87	это не	2	3
88	из этих	3	3
89	или иной	4	3
90	уже не	4	3
91	и того	3	3
92	и как	2	3
93	не в	7	3
94	соответствии с	2	3
95	в контексте	3	3
96	можно сказать	3	3
97	он не	3	3
98	в его	6	3
99	в русской	6	3
100	к жизни	2	3
101	мире и	2	3
102	принадлежит к	3	3
103	но она	2	3
104	и ее	3	3
105	присутствия в	6	3
106	в тексте	14	3
107	приводит к	5	3
108	лирический герой	2	3
109	однако при	3	3
110	иначе говоря	4	3
111	все эти	2	3
112	внутренней речи	13	3
113	и его	8	3
114	одного и	3	3
115	в другом	3	3
116	не знает	3	3
117	как будто	2	3
118	только в	6	3
119	не следует	4	3
120	жизни но	2	3
121	его в	2	3
122	художественное целое	2	2
123	место в	5	2
124	причастности к	2	2
125	лирическое я	2	2
126	никогда не	4	2
127	и одновременно	4	2
128	в большинстве	2	2
129	в целом	3	2
130	художественной целостности	3	2
131	личности в	3	2
132	или иного	3	2
133	в ходе	4	2
134	в той	2	2
135	в соответствии	3	2
136	всякий раз	2	2
137	от лат	7	2
138	есть в	2	2
139	времени и	2	2
140	перед лицом	2	2
141	того же	3	2
142	рассказ о	2	2
143	отношение к	5	2
144	с их	2	2
145	в формах	2	2
146	несет в	2	2
147	далеко не	2	2
148	частной жизни	2	2
149	на почве	4	2
150	я с	5	2
151	по сути	2	2
152	сочетании с	2	2
153	не с	3	2
154	что и	2	2
155	с ее	3	2
156	с точки	3	2
157	вместе с	2	2
158	русской литературе	2	2
159	не на	2	2
160	я как	2	2
161	именно в	3	2
162	на языке	2	2
163	по преимуществу	4	2
164	в себя	3	2
165	этом мире	2	2
166	сводится к	5	2
167	все это	2	2
168	значении этого	3	2
169	в принципе	4	2
170	другой стороны	5	2
171	жизни как	4	2
172	и для	2	2
173	а в	13	2
174	сверхличной заданности	2	2
175	являет собой	2	2
176	совпадает с	3	2
177	их в	3	2
178	в сочетании	2	2
179	говорить о	3	2
180	и это	2	2
181	дело в	2	2
182	в области	4	2
183	мы имеем	7	2
184	в лирическом	2	2
185	между тем	5	2
