N	3gram	Propp_Morf_1	Istorich
1	и т д	39	22
2	мы видим что	9	8
3	не может быть	9	7
4	тем не менее	4	6
5	с другой стороны	4	5
6	более или менее	2	5
7	в том что	3	4
8	в иное царство	5	4
9	на то что	2	4
10	в большинстве случаев	3	4
11	по отношению к	4	3
12	в то время	3	3
13	с того что	2	3
14	в связи с	8	3
15	мы не будем	2	3
16	но все же	3	3
17	то время как	3	3
18	то ни было	2	2
19	в руки героя	3	2
20	руки героя попадает	2	2
21	бы то ни	3	2
22	на первый взгляд	3	2
23	то что в	2	2
24	отсюда вывод что	2	2
25	в таких случаях	2	2
26	таким образом мы	5	2
27	мы увидим ниже	5	2
28	оно может быть	2	2
29	героя из дома	2	2
30	как мы увидим	4	2
31	начинается с того	2	2
32	в этих случаях	11	2
