N	3gram	Vygotskiy__4	EvropaiE
1	с точки зрения	11	16
2	с одной стороны	9	8
3	одной стороны и	2	6
4	в том что	31	6
5	так же как	5	5
6	этой точки зрения	4	5
7	с этой точки	4	5
8	для того чтобы	5	5
9	же как и	4	3
10	можно было бы	5	3
11	в этом отношении	7	3
12	во всяком случае	3	3
13	в этом смысле	8	3
14	друг с другом	7	3
15	по сравнению с	3	2
16	в свою очередь	2	2
17	в данном случае	2	2
18	на то что	4	2
19	по нашему мнению	2	2
20	только в том	2	2
21	с другой стороны	8	2
22	и только в	2	2
23	как мы видели	2	2
24	заключается в том	14	2
25	тому или иному	2	2
