N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	22
2	в этом	7	17
3	что в	2	15
4	не только	4	14
5	мы видели	4	13
6	и не	6	12
7	и пр	2	11
8	может быть	12	11
9	еще не	3	10
10	таким образом	11	10
11	но в	3	10
12	в нем	3	9
13	вместе с	4	9
14	в том	4	9
15	с этим	2	8
16	мы видим	2	8
17	как мы	2	8
18	из них	4	7
19	уже не	2	7
20	мы должны	4	7
21	так как	4	7
22	это не	4	6
23	то и	2	6
24	а в	4	6
25	то же	3	6
26	а не	3	6
27	мы можем	6	6
28	ничего не	6	6
29	не менее	2	5
30	тем не	2	5
31	все же	3	5
32	что она	3	5
33	могут быть	2	5
34	в некоторых	2	5
35	в этой	3	5
36	видели что	3	4
37	у нас	3	4
38	не в	3	4
39	в дальнейшем	4	4
40	на этом	2	4
41	в свою	2	4
42	для нас	3	4
43	не может	17	4
44	и они	2	4
45	все эти	5	4
46	и все	3	3
47	прежде всего	5	3
48	и к	3	3
49	как и	6	3
50	у него	2	3
51	было бы	3	3
52	некоторое время	2	3
53	на его	2	3
54	в его	2	3
55	в целом	4	3
56	не будем	2	3
57	быть и	2	3
58	следующим образом	3	3
59	из этих	2	3
60	их в	4	3
61	знаем что	2	2
62	и есть	2	2
63	в одном	3	2
64	вопрос о	4	2
65	во всяком	2	2
66	мы знаем	2	2
67	но все	2	2
68	такой же	2	2
69	одна из	3	2
70	с одной	2	2
71	при этом	3	2
72	не дает	2	2
73	совершенно не	2	2
74	и потому	3	2
75	всяком случае	2	2
76	жизни и	4	2
77	через некоторое	2	2
78	той же	2	2
79	еще более	2	2
80	и что	2	2
81	и даже	2	2
82	роль в	2	2
83	в виде	2	2
84	точки зрения	12	2
85	в наших	3	2
