N	2gram	Vinokur_Ku_3	Otkroven
1	и в	23	19
2	но и	3	13
3	и не	10	13
4	в этом	16	12
5	а не	11	11
6	не в	5	11
7	может быть	14	11
8	не только	17	11
9	вопрос о	11	10
10	не было	4	9
11	потому что	12	9
12	прежде всего	9	9
13	лишь в	8	7
14	он не	3	7
15	в его	11	7
16	все это	2	6
17	как и	5	6
18	то что	4	5
19	а в	5	5
20	отношение к	3	5
21	в том	22	5
22	в самом	13	5
23	в россии	2	5
24	т е	32	4
25	того чтобы	11	4
26	что не	4	4
27	все эти	7	4
28	не может	6	4
29	что в	13	4
30	не могут	5	3
31	в этих	2	3
32	и есть	5	3
33	мысли и	2	3
34	это не	3	3
35	и вот	3	3
36	что он	6	3
37	того что	11	3
38	для того	12	3
39	хотя бы	9	3
40	еще не	9	3
41	могут быть	6	3
42	было бы	16	3
43	когда он	2	3
44	о том	6	3
45	как бы	5	3
46	уже в	3	2
47	все же	5	2
48	что и	6	2
49	не есть	3	2
50	он в	2	2
51	с тем	6	2
52	так и	6	2
53	в своем	4	2
54	вопросом о	4	2
55	что есть	2	2
56	что же	5	2
57	как к	2	2
58	сразу же	2	2
59	не все	2	2
60	что все	2	2
61	по себе	6	2
62	же это	2	2
63	и к	3	2
64	не имеет	3	2
65	должно быть	7	2
66	в ее	4	2
67	том что	11	2
68	из всего	2	2
69	что они	2	2
70	сказать что	7	2
71	и с	3	2
72	чем в	2	2
73	учение о	2	2
74	тем что	5	2
75	на западе	2	2
76	его в	2	2
77	в своей	4	2
78	так как	9	2
79	и о	4	2
80	ничего не	6	2
81	хотя и	5	2
82	но в	2	2
