N	3gram	Potebnia_M_2	Dialekti
1	и т д	3	23
2	тем не менее	5	10
3	в таком случае	2	10
4	не может быть	2	6
5	сам по себе	4	5
6	само по себе	2	5
7	по крайней мере	5	5
8	в то время	4	4
9	сама по себе	2	4
10	подобно тому как	4	4
11	то время как	3	4
12	для того кто	2	3
13	только тогда когда	2	3
14	в том что	7	3
15	с одной стороны	3	3
16	то что мы	2	3
17	сами по себе	7	3
18	на то что	3	3
19	в сравнении с	2	3
20	не могут быть	3	2
21	одно и то	2	2
22	и то же	2	2
23	с другой стороны	2	2
24	мы не можем	3	2
25	во всяком случае	7	2
26	потому что его	2	2
